NUTS_ID;CNTR_CODE;NAME_LATIN;NUTS_NAME
AL0;AL;Shqipëria;Shqipëria
AT2;AT;Südösterreich;Südösterreich
AT3;AT;Westösterreich;Westösterreich
AT1;AT;Ostösterreich;Ostösterreich
BA0;BA;Bosna I Hercegovina;Bosna I Hercegovina
BE1;BE;Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest
BE3;BE;Région wallonne;Région wallonne
BE2;BE;Vlaams Gewest;Vlaams Gewest
BG3;BG;Severna i Yugoiztochna Bulgaria;Северна и Югоизточна България
BG4;BG;Yugozapadna i Yuzhna tsentralna Bulgaria;Югозападна и Южна централна България
CH0;CH;Schweiz/Suisse/Svizzera;Schweiz/Suisse/Svizzera
CY0;CY;Kýpros;Κύπρος
CZ0;CZ;Česko;Česko
DE1;DE;Baden-Württemberg;Baden-Württemberg
DEE;DE;Sachsen-Anhalt;Sachsen-Anhalt
DE9;DE;Niedersachsen;Niedersachsen
DED;DE;Sachsen;Sachsen
DEF;DE;Schleswig-Holstein;Schleswig-Holstein
DEC;DE;Saarland;Saarland
DE2;DE;Bayern;Bayern
DE8;DE;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern
DEG;DE;Thüringen;Thüringen
DE4;DE;Brandenburg;Brandenburg
DE5;DE;Bremen;Bremen
DE6;DE;Hamburg;Hamburg
DE3;DE;Berlin;Berlin
DEA;DE;Nordrhein-Westfalen;Nordrhein-Westfalen
DE7;DE;Hessen;Hessen
DEB;DE;Rheinland-Pfalz;Rheinland-Pfalz
DK0;DK;Danmark;Danmark
EE0;EE;Eesti;Eesti
EL4;EL;Nisia Aigaiou, Kriti;Νησιά Αιγαίου, Κρήτη
EL3;EL;Attiki;Αττική
EL6;EL;Kentriki Elláda;Κεντρική Ελλάδα
EL5;EL;Voreia Elláda;Βόρεια Ελλάδα
ES4;ES;Centro (ES);Centro (ES)
ES5;ES;Este;Este
ES1;ES;Noroeste;Noroeste
ES7;ES;Canarias;Canarias
ES3;ES;Comunidad de Madrid;Comunidad de Madrid
ES6;ES;Sur;Sur
ES2;ES;Noreste;Noreste
