Variable,Description
statefips,two-digit state FIPS code
state,State name
countyfips,five-digit state-county FIPS code
county,County name
year,year (YYYY)
month,month (MM)
yearmonth,year-month (YYYYMM)
firstdate,earliest distribution date in month
lastdate,last distribution date in month
notesapply,notes apply -- see notes tab
day1,1st day of distribution
day2,2nd day of distribution
day3,3rd day of distribution
day4,4th day of distribution
day5,5th day of distribution
day6,6th day of distribution
day7,7th day of distribution
day8,8th day of distribution
day9,9th day of distribution
day10,10th day of distribution
statefips,two-digit state FIPS code
state,State name
year,year (YYYY)
month,month (MM)
yearmonth,year-month (YYYYMM)
firstdate,earliest distribution date in month
lastdate,last distribution date in month
uniform,"distribution occurs on a random basis (i.e. SSN, case number, alpha) on every day between first and last day"
notesapply,notes apply -- see notes tab
day1,"1st day of distribution, when distribution is not uniform over distribution period"
day2,"2nd day of distribution, when distribution is not uniform over distribution period"
day3,"3rd day of distribution, when distribution is not uniform over distribution period"
day4,"4th day of distribution, when distribution is not uniform over distribution period"
day5,"5th day of distribution, when distribution is not uniform over distribution period"
day6,"6th day of distribution, when distribution is not uniform over distribution period"
day7,"7th day of distribution, when distribution is not uniform over distribution period"
day8,"8th day of distribution, when distribution is not uniform over distribution period"
day9,"9th day of distribution, when distribution is not uniform over distribution period"
day10,"10th day of distribution, when distribution is not uniform over distribution period"
day11,"11th day of distribution, when distribution is not uniform over distribution period"
day12,"12th day of distribution, when distribution is not uniform over distribution period"
day13 ,"13th day of distribution, when distribution is not uniform over distribution period"
day14 ,"14th day of distribution, when distribution is not uniform over distribution period"
day15,"15th day of distribution, when distribution is not uniform over distribution period"
