Variable,Description
   QUESTID2 ,RESPONDENT IDENTIFICATION
   FILEDATE ,CREATION DATE OF THE DATA FILE
   CIGEVER ,EVER SMOKED A CIGARETTE
   CIGOFRSM ,"IF BEST FRIEND OFFERED, WOULD YOU SMOKE CIG"
   CIGWILYR ,"DO YOU THINK YOU""LL SMOKE CIG IN NEXT 12 MOS"
   CIGTRY ,AGE WHEN FIRST SMOKED A CIGARETTE
   CIGYFU ,YEAR OF FIRST CIGARETTE USE - RECODE
   CIGMFU ,MONTH OF FIRST CIGARETTE USE - RECODE
   CIGREC ,TIME SINCE LAST SMOKED CIGARETTES
   CIG30USE ,HOW MANY DAYS SMOKED CIG IN PAST 30 DAYS
   CG30EST ,BEST EST. # DAYS SMOKED CIG PAST 30 DAYS
   CIG30AV ,AVG # CIGS SMOKED PER DAY/ON DAY SMOKED
   CIG30BR2 ,CIG BRAND USED MOST OFTEN PAST MO - RECODE
   CIG30TPE ,WHAT TYPE OF CIG SMOKED MOST PAST 30 DAYS
   CIG30MEN ,MENTHOL OR REG CIG SMOKED MOST PAST 30 DAYS
   CIG30MLN ,"MARLBORO CIG SMOKED PAST 30 DAYS SHORT, REG, 100""S"
   CIG30RO2 ,HAVE YOU SMOKED ROLL-OWN CIG IN PAST 30 DAYS
   CIGDLYMO ,EVER SMOKED CIG EVERY DAY FOR 30 DAYS
   CIGAGE ,AGE WHEN FIRST STARTED SMOKING CIGARETTES EVERYDAY
   CIGDLYFU ,YEAR OF FIRST CIGARETTE USE EVERY DAY - RECODE
   CIGDLMFU ,MONTH OF FIRST CIGARETTE USE EVERY DAY - RECODE
   CIG100LF ,HAVE YOU SMOKED 100 CIGS IN YOUR LIFE
   SMKLSSEVR ,EVER USED SMOKELESS TOBACCO
   SMKLSSTRY ,AGE WHEN FIRST USED SMOKELESS TOBACCO
   SMKLSSYFU ,YEAR OF FIRST SMOKELESS TOBACCO  USE - RECODE
   SMKLSSMFU ,MONTH OF FIRST SMOKELESS TOBACCO USE - RECODE
   SMKLSSREC ,TIME SINCE LAST USED SMOKELESS TOBACCO
   SMKLSS30N ,HOW MANY DAYS USED SMOKELESS TOBACCO PAST 30 DAYS
   SMKLSS30E ,BEST EST. HOW MANY DAYS USED SMKLSS TOB PST 30 DYS
   CIGAREVR ,EVER SMOKED PART OR ALL OF CIGAR
   CIGARTRY ,AGE WHEN FIRST SMOKED CIGAR
   CIGARYFU ,YEAR OF FIRST CIGAR USE - RECODE
   CIGARMFU ,MONTH OF FIRST CIGAR USE - RECODE
   CIGARREC ,TIME SINCE LAST SMOKED CIGAR
   CGR30USE ,HOW MANY DAYS SMOKED CIGAR IN PAST 30 DAYS
   CI30EST ,BEST EST. # DAYS SMOKED CIGAR PAST 30 DAYS
   CGR30BR2 ,CIGAR BRAND USED MOST OFTEN PAST MO - RECODE
   PIPEVER ,EVER SMOKED PIPE TOBACCO
   PIPE30DY ,HAVE YOU SMOKED PIPE TOBACCO IN PAST 30 DAYS
   ALCEVER ,EVER HAD DRINK OF ALCOHOLIC BEVERAGE
   ALCTRY ,AGE WHEN FIRST DRANK ALCOHOLIC BEVERAGE
   ALCYFU ,YEAR OF FIRST ALCOHOL USE - RECODE
   ALCMFU ,MONTH OF FIRST ALCOHOL USE - RECODE
   ALCREC ,TIME SINCE LAST DRANK ALCOHOLIC BEVERAGE
   ALCYRTOT ,TOTAL # OF DAYS USED ALCOHOL IN PAST 12 MOS
   ALTOTFG ,TRIMMING INDICATOR FOR ALCYRTOT
   ALFQFLG ,TRIMMED ALCYRTOT IF R USED < 12 MOS
   ALBSTWAY ,EASIEST WAY TO TELL US # DAYS DRANK ALCOHOL
   ALDAYPYR ,NUMBER DAYS DRANK ALCOHOL IN PAST 12 MOS
   ALDAYPMO ,# DAYS PER MONTH DRANK ALCOHOL IN PAST 12 MOS
   ALDAYPWK ,# DAYS PER WEEK DRANK ALCOHOL IN PAST 12 MOS
   ALCDAYS ,# DAYS HAD ONE OR MORE DRINKS PAST 30 DAYS
   AL30EST ,BEST ESTIMATE # DAYS HAD ONE OR MORE DRINKS
   ALDYSFG ,REVISION INDICATOR FOR ALCDAYS
   ALCUS30D ,USUAL # OF DRINKS PER DAY PAST 30 DAYS
   ALCBNG30D ,# DAYS HAD FOUR/FIVE OR MORE DRINKS PAST 30 DYS
   MJEVER ,EVER USED MARIJUANA/HASHISH
   MJAGE ,AGE WHEN FIRST USED MARIJUANA/HASHISH
   MJYFU ,YEAR OF FIRST MARIJUANA/HASHISH USE - RECODE
   MJMFU ,MONTH OF FIRST MARIJUANA/HASHISH USE - RECODE
   MJREC ,TIME SINCE LAST USED MARIJUANA/HASHISH
   MJYRTOT ,TOTAL # OF DAYS USED MARIJUANA IN PAST 12 MOS
   MRTOTFG ,TRIMMING INDICATOR FOR MJYRTOT
   MJFQFLG ,TRIMMED MJYRTOT IF R USED < 12 MOS
   MRBSTWAY ,EASIEST WAY TO TELL US # DAYS USED MARIJUANA/HASH
   MRDAYPYR ,# DAYS USED MARIJUANA/HASHISH PAST 12 MONTHS
   MRDAYPMO ,# DAYS PER MO USED MARIJUANA/HASHISH PAST 12 MOS
   MRDAYPWK ,# DAYS PER WEEK USED MARIJUANA/HASHISH PAST 12 MOS
