Variable,Description
BASMID,Unique child identifier
PATH,D-Questionnaire path
QTYPE,D-Survey Path
GRADE,E1. Grade attending
SCPUBPRI,E2. Type of school
DISTASSI,E3. District-assigned school
SCHRTSCHL,E4. Charter school
SNEIGHBRX,E5. Move to attend school
SPUBCHOIX,E6. Choice of public school
SCONSIDR,E7. Other schools considered
SPERFORM,E8. Seek information on school performance
S1STCHOI,E9. First choice school
SSAMSC,E10. Same school since beginning of school year
SMVMTH,E11. Month started current school
SEENJOY,E12. Child enjoyment of school
SEGRADES,E13. Child's grades
SEADPLCXX,E14. Advanced placement enrollment
SEBEHAVX,E15. Times contacted about behavior problems
SESCHWRK,E15. Times contacted about problems with school work
SEGBEHAV,E15. Times contacted about very good behavior
SEGWORK,E15. Times contacted about very good school work
SEABSNT,E16. Days absent
SEREPEAT,E17. Grades repeated
SEREPTK,E18. Which grades repeated -K
SEREPT1,E18. Which grades repeated -1
SEREPT2,E18. Which grades repeated -2
SEREPT3,E18. Which grades repeated -3
SEREPT4,E18. Which grades repeated -4
SEREPT5,E18. Which grades repeated -5
SEREPT6,E18. Which grades repeated -6
SEREPT7,E18. Which grades repeated -7
SEREPT8,E18. Which grades repeated -8
SEREPT9,E18. Which grades repeated -9
SEREPT10,E18. Which grades repeated -10
SEREPT11,E18. Which grades repeated -11
SEREPT12,E18. Which grades repeated -12
SESUSOUT,E19. Out of school suspension
SESUSPIN,E19. In school suspension
SEEXPEL,E19. Expelled
SEFUTUREX,E20. Expectations for child's future education
SEGRADEQ,E21. Description of school work
SNETCRSX,E22. Internet instruction
SPBSCH,E23. Internet instruction provided by - local public
SSTATE,E23. Internet instruction provided by - state
SCHRTR,E23. Internet instruction provided by - charter
SAPBSCH,E23. Internet instruction provided by - other public
SPRIVSCH,E23. Internet instruction provided by - private
SUNIVSCH,E23. Internet instruction provided by - college
SOTHSCH,E23. Internet instruction provided by - other
SINSTFEE,E24. Fee for instruction
HOMESCHLX,E25. Homeschooled for some classes or subjects
HMSCHARR,E26. How much homeschooling
FSSPORTX,E30. Attend a school event
FSVOL,E30. Serve as a volunteer
FSMTNG,E30. Attend a school meeting
FSPTMTNG,E30. Attend a parent-teacher organization meeting
FSATCNFN,E30. Attend parent-teacher conference
FSFUNDRS,E30. Participate in fundraising
FSCOMMTE,E30. Serve on school committee
FSCOUNSLR,E30. Meet with guidance counselor
FSFREQ,E31. Times participated in school meetings
FSNOTESX,E32. Receive notes or emails
FSMEMO,E32. Receive newsletters
FSPHONCHX,E32. Receive phone calls
FSSPPERF,E33. School provides child progress between report
FSSPHW,E33. School provides information on homework help
FSSPCOUR,E33. School provides information on class placement
FSSPROLE,E33. School provides information on your expected
FSSPCOLL,E33. School provides information on college
FCSCHOOL,E34. Satisfaction with schools
FCTEACHR,E34. Satisfaction with teachers
FCSTDS,E34. Satisfaction with academic standards
FCORDER,E34. Satisfaction with discipline
FCSUPPRT,E34. Satisfaction with school staff/parent
FHHOME,E35. Time spent doing homework
FHWKHRS,E36. Hours spent doing homework
FHAMOUNT,E37. Adult's feelings about amount of homework
FHCAMT,E38. Child's feelings about amount of homework
FHPLACE,E39. Place at home to do homework
FHCHECKX,E40. Check for homework completion
FHHELP,E41. Days help with homework
HSWHOX,H1. Person providing homeschool instruction
HSTUTOR,H2. Homeschool instruction by tutor
HSCOOP,H3. Homeschool instruction by homeschool group
HSCOLL,H4. Homeschool instruction at public or private
HSPUBLIC,H5. Homeschool type of school - Public
HSPRIVATE,H5. Homeschool type of school - Private
HSCOLLEGE,H5. Homeschool type of school - College
HSSCHR,E27/H6. Hours spent in public or private school
GRADEEQ,H7. Homeschool grade - equivalent K-12
HSDAYS,H8. Days a week homeschooled
HSHOURS,H8. Hours a week homeschooled
HSKACTIV,H9. Participated in activities while homeschooled
HSSTYL,H10. Homeschool teaching style
HSCLIBRX,H11. Homeschool curriculum source - library
HSCHSPUBX,H11. Homeschool curriculum source - homeschool
HSCEDPUBX,H11. Homeschool curriculum source - educational
HSCORGX,H11. Homeschool curriculum source - homeschooling
HSCCHURX,H11. Homeschool curriculum source - church
HSCPUBLX,H11. Homeschool curriculum source - public school
HSCPRIVX,H11. Homeschool curriculum source - private school
HSCRELX,H11. Homeschool curriculum source - bookstore
HSCNETX,H11. Homeschool curriculum source - websites
HSCOTH,H11. Homeschool curriculum source - other source
HSCVTLCR,H11. Homeschool curriculum source - virtual school
HSCOURS,H12. Family member courses taken for homeschool
HSINTNET,H13. Internet homeschool instruction
HSINTPUB,H14. Homeschool instruction provided by - local
HSINTST,H14. Homeschool instruction provided by - state
HSINTCH,H14. Homeschool instruction provided by - charter
HSINTAPB,H14. Homeschool instruction provided by - another
HSINTPRI,H14. Homeschool instruction provided by - private
HSINTCOL,H14. Homeschool instruction provided by - college
HSINTOH,H14. Homeschool instruction provided by - someplace
HSFEE,H15. Fee charged for homeschool instruction
HOMEKX,H16. Homeschooled in Kindergarten
HOME1,H16. Homeschooled in first grade
HOME2,H16. Homeschooled in second grade
HOME3,H16. Homeschooled in third grade
HOME4,H16. Homeschooled in fourth grade
HOME5,H16. Homeschooled in fifth grade
HOME6,H16. Homeschooled in sixth grade
HOME7,H16. Homeschooled in seventh grade
HOME8,H16. Homeschooled in eighth grade
HOME9,H16. Homeschooled in ninth grade
HOME10,H16. Homeschooled in tenth grade
HOME11,H16. Homeschooled in eleventh grade
HOME12,H16. Homeschooled in twelfth grade
HSSAFETYX,E28/H17. Why homeschool - peer pressure
HSDISSATX,E28/H17. Why homeschool - dissatisfied with
HSRELGON,E28/H17. Why homeschool - religious instruction
HSMORAL,E28/H17. Why homeschool - moral instruction
HSDISABLX,E28/H17. Why homeschool - health problem
HSILLX,E28/H17. Why homeschool - temporary illness
HSSPCLNDX,E28/H17. Why homeschool - special needs
HSALTX,E28/H17. Why homeschool - nontraditional education
HSOTHERX,E28/H17. Why homeschool - other
HSMOSTX,E29/H18. Why homeschool - Most important reason
HSFUTUREX,H19. Expectations for child's homeschool education
HSART,H20. Homeschool subject areas taught - Art
HSMUSIC,H20. Homeschool subject areas taught - Music
HSARITH,H20. Homeschool subject areas taught - Arithmetic
HSALG1,H20. Homeschool subject areas taught - Algebra
HSALG2,H20. Homeschool subject areas taught - Algebra II
HSGEOM,H20. Homeschool subject areas taught - Geometry
HSCALC,H20. Homeschool subject areas taught - Calculus
HSPROB,H20. Homeschool subject areas taught - Probability
HSSCIEN,H20. Homeschool subject areas taught - Scientific
HSGEOL,H20. Homeschool subject areas taught - Earth science
HSBIOL,H20. Homeschool subject areas taught - Biology
HSCHEM,H20. Homeschool subject areas taught - Chemistry
