Variable,Description
CASEID,Case identification number
LST,State abbreviations
MHINTAKE,Offers mental health intake services (Q.A1)
MHDIAGEVAL,Offers mental health diagnostic evaluation (Q.A1)
MHREFERRAL,Offers mental health information and referral services (Q.A1)
SMISEDSUD,Offered co-occurring SMI/SED and SUD (Q.A1)
TREATMT,Offers substance abuse treatment services (Q.A1)
ADMINSERV,Offers administrative services (Q.A1)
SETTINGIP,24-hour hospital inpatient (Q.A3)
SETTINGRC,24-hour residential (Q.A3)
SETTINGDTPH,Partial hospitalization/day treatment (Q.A3)
SETTINGOP,Outpatient (Q.A3)
FACILITYTYPE,Facility type (Q.A4)
FOCUS,Primary focus (Q.A7)
OWNERSHP,Ownership (Q.A9)
PUBLICAGENCY,Public agency or department (Q.A9a)
TREATPSYCHOTHRPY,Individual psychotherapy (Q.A11)
TREATFAMTHRPY,Couples/family therapy (Q.A11)
TREATGRPTHRPY,Group therapy (Q.A11)
TREATCOGTHRPY,Cognitive behavioral therapy (Q.A11)
TREATDIALTHRPY,Dialectical behavior therapy (Q.A11)
TREATBEHAVMOD,Behavior modification (Q.A11)
TREATDUALMHSA,Integrated dual disorders treatment (Q.A11)
TREATTRAUMATHRPY,Trauma therapy (Q.A11)
TREATACTVTYTHRPY,Activity therapy (Q.A11)
TREATELECTRO,Electroconvulsive therapy (Q.A11)
TREATTELEMEDINCE,Telemedicine therapy (Q.A11)
TREATPSYCHOMED,Psychotropic medication (Q.A11)
TREATOTH,Other (Q.A11)
NOTREAT,None of these mental health treatment approaches are offered (Q.A11)
ASSERTCOMM,Assertive community treatment (ACT) (Q.A12)
MHINTCASEMGMT,Intensive case management (ICM) (Q.A12)
MHCASEMGMT,Case management (CM) (Q.A12)
MHCOURTORDERED,Court-ordered outpatient treatment (Q.A12)
MHCHRONIC,Chronic disease/illness management (CDM) (Q.A12)
ILLNESSMGMT,Illness management and recovery (IMR) (Q.A12)
PRIMARYCARE,Integrated primary care services (Q.A12)
DIETEXERCOUNSEL,Diet and exercise counseling (Q.A12)
FAMPSYCHED,Family psychoeducation (Q.A12)
MHEDUCATION,Education services (Q.A12)
MHHOUSING,Housing services (Q.A12)
SUPPHOUSING,Supported housing (Q.A12
MHPSYCHREHAB,Psychosocial rehabilitation services (Q.A12)
MHVOCREHAB,Vocational rehabilitation services (Q.A12)
SUPPEMPLOY,Supported employment (Q.A12)
FOSTERCARE,Therapeutic foster care (Q.A12)
MHLEGAL,Legal advocacy (Q.A12)
MHEMGCY,Psychiatric emergency walk-in services (Q.A12)
MHSUICIDE,Suicide prevention services (Q.A12)
MHCONSUMER,Consumer-run (peer support) services (Q.A12)
MHTOBACCOUSE,Screening for tobacco use (Q.A12)
MHTOBACCOCESS,Smoking/tobacco cessation counseling (Q.A12)
MHNICOTINEREP,Nicotine replacement therapy (Q.A12)
SMOKINGCESSATION,Non-nicotine smoking/tobacco cessation medications (by prescription) (Q.A12) prescription) (Q.A12)
MHOTH,Other (Q.A12)
MHNOSVCS,None of these services and practices are offered (Q.A12)
CHILDAD,Children (12 or younger) (Q.A13)
ADOLES,Adolescents (13-17) (Q.A13)
YOUNGADULTS,Young adults (18-25) (Q.A13)
ADULT,Adults (26-64) (Q.A13)
SENIORS,Seniors (65 or older) (Q.A13)
SED,Children/adolescents with serious emotional disturbance (SED) (Q.A14)
TAYOUNGADULTS,Transitional age young adults (Q.A14)
SPMI,Persons 18 and older with serious mental illness (Q.A14)
SRVC63,Seniors or older adults (Q.A14)
ALZHDEMENTIA,Persons with Alzheimer's or dementia (Q.A14)
SRVC31,Persons with co-occurring mental and substance use disorders (Q.A14)
SPECGRPEATING,Persons with eating disorders (Q.A14)
POSTTRAUM,Persons with a diagnosis of post-traumatic stress disorder (PTSD) (Q.A14)
SRVC116,Persons who have experienced trauma (excluding persons with a PTSD diagnosis) (Q.A14)
TRAUMATICBRAIN,Persons with traumatic brain injury (TBI) (Q.A14)
SRVC113,Veterans (Q.A14)
SRVC114,Active duty military (Q.A14)
SRVC115,Members of military families (Q.A14)
SRVC62,"Lesbian,gay,bisexual or transgender clients (LGBT) (Q.A14)"
SRVC61,Forensic clients (referred from the court/judicial system) (Q.A14)
SRVC32,Persons with HIV or AIDS (Q.A14)
SRVC35,Other special program or group (Q.A14)
NOSPECGRP,No dedicated or exclusively designed programs or groups are offered (Q.A14)
CRISISTEAM2,Offers a crisis intervention team that handles acute mental health CRISISTEAM2: Offers a crisis intervention team that handles acute mental health issues at this facility and/or off-site (Q.A15)
SIGNLANG,Treatment in sign language (Q.A16)
