Variable,Description,
   QUESTID2 ,RESPONDENT IDENTIFICATION,
   FILEDATE ,CREATION DATE OF THE DATA FILE,
   CIGEVER ,EVER SMOKED A CIGARETTE,
   CIGOFRSM ,"IF BEST FRIEND OFFERED, WOULD YOU SMOKE CIG",
   CIGWILYR ,"DO YOU THINK YOU""LL SMOKE CIG IN NEXT 12 MOS",
   CIGTRY ,AGE WHEN FIRST SMOKED A CIGARETTE,
   CIGYFU ,YEAR OF FIRST CIGARETTE USE - RECODE,
   CIGMFU ,MONTH OF FIRST CIGARETTE USE - RECODE,
   CIGREC ,TIME SINCE LAST SMOKED CIGARETTES,
   CIG30USE ,HOW MANY DAYS SMOKED CIG IN PAST 30 DAYS,
   CG30EST ,BEST EST. # DAYS SMOKED CIG PAST 30 DAYS,
   CIG30AV ,AVG # CIGS SMOKED PER DAY/ON DAY SMOKED,
   CIG30BR2 ,CIG BRAND USED MOST OFTEN PAST MO - RECODE,
   CIG30TPE ,WHAT TYPE OF CIG SMOKED MOST PAST 30 DAYS,
   CIG30MEN ,MENTHOL OR REG CIG SMOKED MOST PAST 30 DAYS,
   CIG30MLN ,"MARLBORO CIG SMOKED PAST 30 DAYS SHORT, REG, 100""S",
   CIG30RO2 ,HAVE YOU SMOKED ROLL-OWN CIG IN PAST 30 DAYS,
   CIGDLYMO ,EVER SMOKED CIG EVERY DAY FOR 30 DAYS,
   CIGAGE ,AGE WHEN FIRST STARTED SMOKING CIGARETTES EVERYDAY,
   CIGDLYFU ,YEAR OF FIRST CIGARETTE USE EVERY DAY - RECODE,
   CIGDLMFU ,MONTH OF FIRST CIGARETTE USE EVERY DAY - RECODE,
   CIG100LF ,HAVE YOU SMOKED 100 CIGS IN YOUR LIFE,
   SMKLSSEVR ,EVER USED SMOKELESS TOBACCO,
   SMKLSSTRY ,AGE WHEN FIRST USED SMOKELESS TOBACCO,
   SMKLSSYFU ,YEAR OF FIRST SMOKELESS TOBACCO  USE - RECODE,
   SMKLSSMFU ,MONTH OF FIRST SMOKELESS TOBACCO USE - RECODE,
   SMKLSSREC ,TIME SINCE LAST USED SMOKELESS TOBACCO,
   SMKLSS30N ,HOW MANY DAYS USED SMOKELESS TOBACCO PAST 30 DAYS,
   SMKLSS30E ,BEST EST. HOW MANY DAYS USED SMKLSS TOB PST 30 DYS,
   CIGAREVR ,EVER SMOKED PART OR ALL OF CIGAR,
   CIGARTRY ,AGE WHEN FIRST SMOKED CIGAR,
   CIGARYFU ,YEAR OF FIRST CIGAR USE - RECODE,
   CIGARMFU ,MONTH OF FIRST CIGAR USE - RECODE,
   CIGARREC ,TIME SINCE LAST SMOKED CIGAR,
