Variable,Description
DUID,Panel # + Encrypted DU Identifier
PID,Person Number
DUPERSID,Person ID (DUID + PID)
PANEL,Panel Number
DATAYEAR,Survey Data Year
FAMID31,Family ID (Student Merged In) - R3/1
FAMID42,Family ID (Student Merged In) - R4/2
FAMID53,Family ID (Student Merged In) - R5/3
FAMID22,Family ID (Student Merged In) - 12/31/22
FAMIDYR,Annual Family Identifier
CPSFAMID,CPS-Like Family Identifier
FCSZ1231,Family Size Responding 12/31 CPS Family
FCRP1231,Ref Person of 12/31 CPS Family
RULETR31,RU Letter - R3/1
RULETR42,RU Letter - R4/2
RULETR53,RU Letter - R5/3
RULETR22,RU Letter as of 12/31/22
RUSIZE31,RU Size - R3/1
RUSIZE42,RU Size - R4/2
RUSIZE53,RU Size - R5/3
RUSIZE22,RU Size as of 12/31/22
RUCLAS31,"RU fielded as: Standard/New/Student -
R3/1"
RUCLAS42,"RU fielded as: Standard/New/Student -
R4/2"
RUCLAS53,"RU fielded as: Standard/New/Student -
R5/3"
RUCLAS22,"RU fielded as: Standard/New/Stud-
12/31/22"
FAMSZE31,RU Size Including Students - R3/1
FAMSZE42,RU Size Including Students - R4/2
FAMSZE53,RU Size Including Students - R5/3
FAMSZE22,RU Size Including Students as of 12/31/22
FMRS1231,Member of Responding 12/31 Family
FAMS1231,Family Size of Responding 12/31 Family
FAMSZEYR,Size of Responding Annualized Family
FAMRFPYR,Reference Person of Annualized Family
REGION31,Census Region - R3/1
REGION42,Census Region - R4/2
REGION53,Census Region - R5/3
REGION22,Census Region as of 12/31/22
REFPRS31,Reference Person at - R3/1
REFPRS42,Reference Person at - R4/2
REFPRS53,Reference Person at - R5/3
REFPRS22,Reference Person as of 12/31/22
RESP31,1st Respondent Indicator for R3/1
RESP42,1st Respondent Indicator for R4/2
RESP53,1st Respondent Indicator for R5/3
RESP22,1st Respondent Indicator as of 12/31/22
PROXY31,Was Respondent a Proxy in R3/1
PROXY42,Was Respondent a Proxy in R4/2
PROXY53,Was Respondent a Proxy in R5/3
PROXY22,Was Respondent a Proxy as of 12/31/22
INTVLANG,Language Interview Was Completed
INTVTYPE31,"Was Interview In-Person, By Phone, Or By
Video R3/1"
INTVTYPE42,"Was Interview In-Person, By Phone, Or By
Video R4/2"
INTVTYPE53,"Was Interview In-Person, By Phone, Or By
Video R5/3"
BEGRFM31,R3/1 Reference Period Begin Date: Month
BEGRFY31,R3/1 Reference Period Begin Date: Year
ENDRFM31,R3/1 Reference Period End Date: Month
ENDRFY31,R3/1 Reference Period End Date: Year
BEGRFM42,R4/2 Reference Period Begin Date: Month
BEGRFY42,R4/2 Reference Period Begin Date: Year
ENDRFM42,R4/2 Reference Period End Date: Month
ENDRFY42,R4/2 Reference Period End Date: Year
BEGRFM53,R5/3 Reference Period Begin Date: Month
BEGRFY53,R5/3 Reference Period Begin Date: Year
ENDRFM53,R5/3 Reference Period End Date: Month
ENDRFY53,R5/3 Reference Period End Date: Year
ENDRFM22,2022 Reference Period End Date: Month
ENDRFY22,2022 Reference Period End Date: Year
KEYNESS,Person Key Status
INSCOP31,Inscope - R3/1
INSCOP42,Inscope - R4/2
INSCOP53,Inscope - R5/3
INSCOP22,Inscope - R5/3 Start through 12/31/22
INSC1231,Inscope Status on 12/31/22
INSCOPE,Was Person Ever Inscope in 2022
ELGRND31,Eligibility - R3/1
ELGRND42,Eligibility - R4/2
ELGRND53,Eligibility - R5/3
ELGRND22,Eligibility Status as of 12/31/22
PSTATS31,Person Disposition Status - R3/1
PSTATS42,Person Disposition Status - R4/2
PSTATS53,Person Disposition Status - R5/3
RURSLT31,RU Result - R3/1
RURSLT42,RU Result - R4/2
RURSLT53,RU Result - R5/3
AGE31X,Age - R3/1 (Edited/Imputed)
AGE42X,Age - R4/2 (Edited/Imputed)
AGE53X,Age - R5/3 (Edited/Imputed)
AGE22X,Age as of 12/31/22 (Edited/Imputed)
AGELAST,Personâ€™s Age Last Time Eligible
DOBMM,Date of Birth: Month
DOBYY,Date of Birth: Year
SEX,Sex
RACEV1X,Race (Edited/Imputed)
RACEV2X,Race (Edited/Imputed)
RACEAX,Asian Among Races Rptd (Edited/Imputed)
RACEBX,Black Among Races Rptd (Edited/Imputed)
RACEWX,White Among Races Rptd (Edited/Imputed)
RACETHX,Race/Ethnicity (Edited/Imputed)
HISPANX,Hispanic Ethnicity (Edited/Imputed)
HISPNCAT,Hispanic Ethnicity (Edited/Imputed)
MARRY31X,Marital Status - R3/1 (Edited/Imputed)
MARRY42X,Marital Status - R4/2 (Edited/Imputed)
MARRY53X,Marital Status - R5/3 (Edited/Imputed)
MARRY22X,Marital Status-12/31/22 (Edited/Imputed)
SPOUID31,Spouse ID - R3/1
SPOUID42,Spouse ID - R4/2
SPOUID53,Spouse ID - R5/3
SPOUID22,Spouse ID - 12/31/22
SPOUIN31,Marital Status w/ Spouse Present - R3/1
SPOUIN42,Marital Status w/ Spouse Present - R4/2
SPOUIN53,Marital Status w/ Spouse Present - R5/3
SPOUIN22,Marital Status w/Spouse Present-12/31/22
EDUCYR,Years of Educ When First Entered MEPS
HIDEG,Highest Degree When First Entered MEPS
FTSTU31X,Student Status if Ages 17-23 - R3/1
FTSTU42X,Student Status if Ages 17-23 - R4/2
FTSTU53X,Student Status if Ages 17-23 - R5/3
FTSTU22X,Student Status if Ages 17-23 - 12/31/22
ACTDTY31,Military Full-Time Active Duty - R3/1
ACTDTY42,Military Full-Time Active Duty - R4/2
ACTDTY53,Military Full-Time Active Duty - R5/3
REFRL31X,Relation to Ref Pers - R3/1 (Edit/Imp)
REFRL42X,Relation to Ref Pers - R4/2 (Edit/Imp)
REFRL53X,Relation to Ref Pers - R5/3 (Edit/Imp)
REFRL22X,Relation to Ref Pers - 12/31/22 (Edit/Imp)
OTHLGSPK,Speak Other Language at Home
WHTLGSPK,What Language Spoken Other Than English
HWELLSPK,How Well Person Speaks English
BORNUSA,Person Born in the US
YRSINUS,Years Person Lived in the US
MOPID31X,PID of Personâ€™s Mom - RD 3/1
MOPID42X,PID of Personâ€™s Mom - RD 4/2
MOPID53X,PID of Personâ€™s Mom - RD 5/3
DAPID31X,PID of Personâ€™s Dad - RD 3/1
DAPID42X,PID of Personâ€™s Dad - RD 4/2
DAPID53X,PID of Personâ€™s Dad - RD 5/3
FILEDR22,Has Person Filed A Fed Income Tax Return
WILFIL22,Will Person File Fed Income Tax Return
FLSTAT22,Personâ€™s Filing Status
FILER22,Primary Or Secondary Filer
JTINRU22,Joint Filerâ€™s Membership In RU
JNTPID22,PID of Joint Filer
TAXFRM22,Tax Form Person Will File
FOODST22,Did Anyone Receive Food Stamps
FOODMN22,Number Of Months Food Stamps Received
FOODVL22,Monthly Value Of Food Stamps
TTLP22X,Personâ€™s Total Income
FAMINC22,Familyâ€™s Total Income
POVCAT22,Family Income As Percent Of Poverty Line - Categorical
POVLEV22,Family Income As Percent Of Poverty Line - Continuous
WAGEP22X,Personâ€™s Wage Income
WAGIMP22,Wage Imputation Flag
BUSNP22X,Personâ€™s Business Income
BUSIMP22,Business Income Imputation Flag
UNEMP22X,Personâ€™s Unemployment Comp Income
UNEIMP22,Unemployment Imputation Flag
WCMPP22X,Personâ€™s Workersâ€™ Compensation
WCPIMP22,Workers' Comp Imputation Flag
INTRP22X,Personâ€™s Interest Income
INTIMP22,Interest Imputation Flag
DIVDP22X,Personâ€™s Dividend Income
DIVIMP22,Dividend Imputation Flag
SALEP22X,Personâ€™s Sales Income
SALIMP22,Sales Income Imputation Flag
PENSP22X,Personâ€™s Pension Income
PENIMP22,Pension Income Imputation Flag
SSECP22X,Personâ€™s Social Security Income
SSCIMP22,Social Security Imputation Flag
TRSTP22X,Personâ€™s Trust/Rent Income
TRTIMP22,Trust Income Imputation Flag
VETSP22X,Personâ€™s Veteranâ€™s Income
VETIMP22,Veteran's Income Imputation Flag
IRASP22X,Personâ€™s Ira Income
IRAIMP22,Ira Income Imputation Flag
ALIMP22X,Personâ€™s Alimony Income
ALIIMP22,Alimony Income Imputation Flag
CHLDP22X,Personâ€™s Child Support
CHLIMP22,Child Support Imputation Flag
CASHP22X,Personâ€™s Other Regular Cash Contrib
CSHIMP22,Cash Contribution Imputation Flag
SSIP22X,Personâ€™s SSI
SSIIMP22,SSI Imputation Flag
PUBP22X,Personâ€™s Public Assistance
PUBIMP22,Public Assistance Imputation Flag
OTHRP22X,Personâ€™s Other Income
OTHIMP22,Other Income Imputation Flag
HIEUIDX,Health Insurance Eligibility Unit Identifier
HIBPDX,High Blood Pressure Diag (>17)
HIBPAGED,Age of Diagnosis-High Blood Pressure
BPMLDX,Mult Diag High Blood Press (>17)
CHDDX,Coronary Hrt Disease Diag (>17)
CHDAGED,Age of Diagnosis-Coronary Heart Disease
ANGIDX,Angina Diagnosis (>17)
ANGIAGED,Age of Diagnosis-Angina
MIDX,Heart Attack (MI) Diag (>17)
MIAGED,Age of Diagnosis-Heart Attack (MI)
OHRTDX,Other Heart Disease Diag (>17)
OHRTAGED,Age of Diagnosis-Other Heart Disease
OHRTTYPE,Type of Other Heart Disease (>17)
STRKDX,Stroke Diagnosis (>17)
STRKAGED,Age of Diagnosis-Stroke
EMPHDX,Emphysema Diagnosis (>17)
EMPHAGED,Age of Diagnosis-Emphysema
CHBRON31,Chronc Bronchits Last 12 Mths (>17)-R3/1
CHOLDX,High Cholesterol Diagnosis (>17)
CHOLAGED,Age of Diagnosis-High Cholesterol
CANCERDX,Cancer Diagnosis (>17)
CABLADDR,Cancer Diagnosed - Bladder (>17)
CABREAST,Cancer Diagnosed - Breast (>17)
CACERVIX,Cancer Diagnosed - Cervical (>17)
CACOLON,Cancer Diagnosed - Colon (>17)
CALUNG,Cancer Diagnosed - Lung (>17)
CALYMPH,"Cancer Diagnosed - Lymphoma (Non-
Hodgkinâ€™s) (>17)"
CAMELANO,Cancer Diagnosed - Skin Melanoma (>17)
CAOTHER,Cancer Diagnosed - Other (>17)
CAPROSTA,Cancer Diagnosed - Prostate (>17)
CASKINNM,Cancer Diagnosed - Skin-Nonmelano (>17)
CASKINDK,Cancer Diagnosed - Skin-Unknown Type (>17)
CAUTERUS,Cancer Diagnosed - Uterine (>17)
DIABDX_M18,Diabetes Diagnosis
DIABAGED,Age of Diagnosis-Diabetes
JTPAIN31_M18,Joint Pain Last 12 Months (>17) - RD 3/1
ARTHDX,Arthritis Diagnosis (>17)
ARTHTYPE,Type Of Arthritis Diagnosed (>17)
ARTHAGED,Age of Diagnosis-Arthritis
ASTHDX,Asthma Diagnosis
ASTHAGED,Age of Diagnosis-Asthma
ASSTIL31,Does Person Still Have Asthma - RD 3/1
ASATAK31,Asthma Attack Last 12 Mos- RD 3/1
ASTHEP31,When Was Last Episode Of Asthma - RD 3/1
ASACUT31,Used Acute Pres Inhaler Last 3 Mos - RD 3/1
ASMRCN31,Used >3 Acute Cn Pres Inh Last 3 Mos - RD 3/1
ASPREV31,Ever Used Prev Daily Asthma Meds - RD 3/1
ASDALY31,Now Take Prev Daily Asthma Meds - RD 3/1
ASPKFL31,Have Peak Flow Meter At Home - RD 3/1
ASEVFL31,Ever Used Peak Flow Meter - RD 3/1
ASWNFL31,When Last Used Peak Flow Meter - RD 3/1
ADHDADDX,ADHD/ADD Diagnosis (5-17)
ADHDAGED,Age of Diagnosis-ADHD/ADD
COVIDEVER53,Ever Had COVID-19 - RD 5/3
LCEVER53,"Ever had COVID-19 Symptoms Lasting â‰¥ 3
Months (Long Covid) - RD 5/3"
COVSYMNOW53,"Has COVID-19 or Long COVID-19 Symptoms
Now - RD 5/3"
COVREDABIL53,"Reduced Ability from COVID-19 or Long
COVID-19 Symptoms- RD 5/3"
COVID12MO53,"Had COVID-19 in the Past 12 MONTHS - RD
5/3"
COVMNTHX53,Month Last had COVID-19 - RD 5/3
COVYRDX53,Year Last had COVID-19 - RD 5/3
RTHLTH31,Perceived Health Status - RD 3/1
RTHLTH42,Perceived Health Status - RD 4/2
RTHLTH53,Perceived Health Status - RD 5/3
MNHLTH31,Perceived Mental Health Status - RD 3/1
MNHLTH42,Perceived Mental Health Status - RD 4/2
MNHLTH53,Perceived Mental Health Status - RD 5/3
IADLHP31,IADL Screener - RD 3/1
ADLHLP31,ADL Screener - RD 3/1
AIDHLP31,Used Assistive Devices - RD 3/1
WLKLIM31,Limitation in Physical Functioning - RD 3/1
LFTDIF31,Difficulty Lifting 10 Pounds - RD 3/1
STPDIF31,Difficulty Walking up 10 Steps - RD 3/1
WLKDIF31,Difficulty Walking 3 Blocks - RD 3/1
MILDIF31,Difficulty Walking a Mile - RD 3/1
STNDIF31,Difficulty Standing 20 Minutes - RD 3/1
BENDIF31,Difficulty Bending/Stooping - RD 3/1
RCHDIF31,Difficulty Reaching Overhead - RD 3/1
FNGRDF31,Difficulty Using Fingers to Grasp - RD 3/1
ACTLIM31,Any Limitation Work/Housewrk/Schl - RD 3/1
WRKLIM31,Work Limitation - RD 3/1
HSELIM31,Housework Limitation - RD 3/1
SCHLIM31,School Limitation - RD 3/1
UNABLE31,Completely Unable to Do Activity - RD 3/1
SOCLIM31,Social Limitations - RD 3/1
COGLIM31,Cognitive Limitations - RD 3/1
DFHEAR42,Serious Difficulty Hearing-RD4/2
DFSEE42,Serious Difficulty See w/Glasses-RD4/2
DFCOG42,Serious Cognitive Difficulties-RD4/2
DFWLKC42,Serious Difculty Wlk/Climb Stairs-RD4/2
DFDRSB42,Difficulty Dressing/Bathing-RD4/2
DFERND42,Difficulty Doing Errands Alone-RD4/2
ANYLMI22,"Any Limitation in P24R7,8/P26R3,4/P27R1,2"
CHPMED42,CSHCN: Child Needs Prescrb Med(0-17)-R4/2
CHPMHB42,"CSHCN: Pmed for Hlth/Behv Cond (0-17)-
R4/2"
CHPMCN42,"CSHCN: Pmed Cond Last 12+ Mos (0-17)-
R4/2"
CHSERV42,"CSHCN: Chld Needs Med&Oth Serv (0-17)-
R4/2"
CHSRHB42,CSHCN: Serv for Hlth/Behv Cond(0-17)-R4/2
CHSRCN42,CSHCN: Serv Cond Last 12+ Mos (0-17)-R4/2
CHLIMI42,CSHCN: Limited in Any Way (0-17)-R4/2
CHLIHB42,CSHCN: Limt for Hlth/Behv Cond(0-17)-R4/2
CHLICO42,"CSHCN: Limit Cond Last 12+ Mos (0-17)-
R4/2"
CHTHER42,"CSHCN: Chld Needs Spec Therapy (0-17)-
R4/2"
CHTHHB42,CSHCN: Spec Ther for Hlth+Cond(0-17)-R4/2
CHTHCO42,CSHCN: Ther Cond Last 12+ Mos (0-17)-R4/2
CHCOUN42,CSHCN: Child Needs Counseling (0-17)-R4/2
CHEMPB42,"CSHCN: Couns Prob Last 12+ Mos (0-17)-
R4/2"
CSHCN42,CSHCN:Child w/Spec HC Needs (0-17)-R4/2
MESHGT42,Doctor Ever Measured Height (0-17) - R4/2
WHNHGT42,When Doctor Measured Height (0-17) - R4/2
MESWGT42,Doctor Ever Measured Weight (0-17) - R4/2
WHNWGT42,When Doctor Measured Weight (0-17) - R4/2
CHBMIX42,Childâ€™s Body Mass Index (6-17) - R4/2
MESVIS42,Doctor Checked Childâ€™s Vision (3-6) - R4/2
EATHLT42,Dr Advise Eat Healthy (2-17) - R4/2
WHNEAT42,When Dr Advise Eat Healthy (2-17) - R4/2
PHYSCL42,Dr Advise Exercise (2-17) - R4/2
WHNPHY42,When Dr Advise Exercise (2-17) - R4/2
SAFEST42,Dr Advise Chld Safety Seat (Wt<=40) - R4/2
WHNSAF42,When Dr Advise Safety Seat (Wt<=40) - R4/2
BOOST42,Dr Advise Booster Seat (40<Wt<=80) - R4/2
WHNBST42,"Whn Dr Advise Booster Seat(40<Wt<=80) -
R4/2"
LAPBLT42,Dr Advise Lap/Shoulder Belt (80<Wt) - R4/2
