Variable,Description
UNITID,Unique identification number of the institution
SCUGRAD,Total number of undergraduates - financial aid cohort
SCUGDGSK,Total number of degree/certificate-seeking undergraduate students
SCUGNDGS,Total number of non-degee/non-certificate seeking undergraduate students
SCUGFFN,Total number of full-time first-time degree/certificate seeking undergraduates - financial aid cohort
SCUGFFP,Full-time first-time degree/certificate seeking undergraduates as a percent of all undergraduates - financial aid cohort
SCFA2,Total number of undergraduates - fall cohort
SCFA2DG,Total number of degree/certificate-seeking undergraduates - fall cohort
SCFA2ND,Total number of non-degee/non-certificate seeking undergraduates - fall cohort
SCFA1N,Number of students in fall cohort
SCFA1P,Students in fall cohort as a percentage of all undergraduates
SCFA11N,Number of students in fall cohort who are paying in-district tuition rates
SCFA11P,Percentage of students in fall cohort who are paying in-district tuition rates
SCFA12N,Number of students in fall cohort who are paying in-state tuititon rates
SCFA12P,Percentage of students in fall cohort who paying in-state tuition rates
SCFA13N,Number of students in fall cohort who are paying out-of-state tuition rates
SCFA13P,Percentage of students in fall cohort who are paying out-of-state tuition rates
SCFA14N,Number of students in fall cohort whose residence/tuition rate is unknown
SCFA14P,Percentage of students in fall cohort whose residence/ tuition rate is unknown
SCFY2,Total number of undergraduates - full-year cohort
SCFY2DG,Total number of degree/certificate-seeking undergraduates - full-year cohort
SCFY2ND,Total number of non-degee/non-certificate seeking undergraduates - full-year cohort
SCFY1N,Number of students in full-year cohort
SCFY1P,Students in full-year cohort as a percentage of all  undergraduates
UAGRNTN,"Number of undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
UAGRNTP,"Percent of undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
UAGRNTT,"Total amount of federal, state, local, institutional or other sources of grant aid awarded to undergraduate students"
UAGRNTA,"Average amount of federal, state, local, institutional or other sources of grant aid awarded to undergraduate students"
UDGAGRNTN,"Number of degree/certificate-seeking undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
UDGAGRNTP,"Percent of degree/certificate-seeking undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
UDGAGRNTT,"Total amount of federal, state, local, institutional or other sources of grant aid awarded to degree/certificate-seeking undergraduate students"
UDGAGRNTA,"Average amount of federal, state, local, institutional or other sources of grant aid awarded to degree/certificate-seeking undergraduate students"
UNDAGRNTN,"Number of non-degree/non-certificate-seeking undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
UNDAGRNTP,"Percent of non-degree/non-certificate-seeking undergraduate students awarded federal, state, local, institutional or other sources of grant aid"
UNDAGRNTT,"Total amount of federal, state, local, institutional or other sources of grant aid awarded to non-degree/non-certificate-seeking undergraduates"
UNDAGRNTA,"Average amount of federal, state, local, institutional or other sources of grant aid awarded to non-degree/non-certificate-seeking undergraduates"
UPGRNTN,Number of undergraduate students awarded Pell grants
UPGRNTP,Percent of undergraduate students awarded Pell grants
UPGRNTT,Total amount of Pell grant aid awarded to undergraduate students
UPGRNTA,Average amount Pell grant aid awarded to undergraduate students
UDGPGRNTP,Percent of degree/certificate-seeking undergraduate students awarded Federal Pell Grants
UFLOANN,Number of undergraduate students awarded federal student loans
UFLOANP,Percent of undergraduate students awarded federal student loans
UFLOANT,Total amount of federal student loans awarded to undergraduate students
UFLOANA,Average amount of federal student loans awarded to undergraduate students
UDGFLOANP,Percent of degree/certificate-seeking undergraduate students awarded federal student loans
ANYAIDN,Number of full-time first-time undergraduates awarded any financial aid
ANYAIDP,Percent of full-time first-time undergraduates awarded any financial aid
AIDFSIN,Number of full-time first-time undergraduates awarded any loans to students or grant aid  from federal state/local government or the institution
AIDFSIP,Percent of full-time first-time undergraduates awarded any loans to students or grant aid  from federal state/local government or the institution
