Variable,Description
ACTIN11_ , 'ESTIMATED ACTIVITY INTENSITY FOR FIRST ACTIVITY'
ACTIN21_ , 'ESTIMATED ACTIVITY INTENSITY FOR SECOND ACTIVITY'
ADDEPEV2 , 'EVER TOLD YOU HAD A DEPRESSIVE DISORDER'
ADSLEEP , 'DAYS HAD TROUBLE WITH SLEEP'
ALCDAY5 , 'DAYS IN PAST 30 HAD ALCOHOLIC BEVERAGE'
ARTHDIS2 , 'DOES ARTHRITIS AFFECT WHETHER YOU WORK'
ARTHEDU , 'EVER TAKEN CLASS IN MANAGING ARTHRITIS OR JOINT SYMPTOMS'
ARTHEXER , 'DR. SUGGEST USE OF PHYSICAL ACTIVITY OR EXERCISE FOR ARTHRITIS OR JOINT SYMPTOMS'
ARTHSOCL , 'SOCIAL ACTIVITIES LIMITED BECAUSE OF JOINT SYMPTOMS'
ARTHWGT , 'DR. SUGGEST LOSE WEIGHT FOR ARTHRITIS OR JOINT SYMPTOMS'
ARTTODAY , 'WHAT CAN YOU DO BECAUSE OF ARTHRITIS OR JOINT SYMPTOMS'
ASACTLIM , 'ACTIVITIES LIMITED DUE TO ASTHMA DURING PAST 12 MONTHS'
ASATTACK , 'ASTHMA DURING PAST 12 MONTHS'
ASBIADVC , 'OFFERED ADVICE ABOUT WHAT LEVEL OF DRINKING IS HARMFUL OR RISKY?'
ASBIALCH , 'ASKED DURING CHECKUP IF YOU DRINK ALCHOHOL'
ASBIBING , 'ASKED WHETHER YOU DRANK [5 FOR MEN /4 FOR WOMEN] OR MORE ALCOHOLIC DRINKS ON AN OCCASION?'
ASBIDRNK , 'ASKED IN PERSON OR BY FORM HOW MUCH YOU DRINK?'
ASBIRDUC , 'WERE YOU ADVISED TO REDUCE OR QUIT YOUR DRINKING?'
ASDRVIST , 'URGENT ASTHMA TREATMENT DURING PAST 12 MONTHS'
ASERVIST , 'EMERGENCY ASTHMA CARE DURING PAST 12 MONTHS'
ASINHALR , 'TIMES USED ASTHMA INHALER DURING AN ATTACK IN PAST 30 DAYS'
ASNOSLEP , 'SLEEP DIFFICULTY DUE TO ASTHMA DURING PAST 30 DAYS'
ASPUNSAF , 'HEALTH MAKES TAKING ASPIRIN UNSAFE'
ASRCHKUP , 'ROUTINE ASTHMA CARE DURING PAST 12 MONTHS'
ASTHMA3 , 'EVER TOLD HAD ASTHMA'
ASTHMAGE , 'AGE AT ASTHMA DIAGNOSIS'
ASTHMED3 , 'DAYS USED PRESCRIBED PREVENTATIVE ASTHMA MED IN PAST 30 DAYS'
ASTHNOW , 'STILL HAVE ASTHMA'
ASYMPTOM , 'ASTHMA SYMPTOMS DURING PAST 30 DAYS'
AVEDRNK2 , 'AVG ALCOHOLIC DRINKS PER DAY IN PAST 30'
BLDSUGAR , 'HOW OFTEN CHECK BLOOD FOR GLUCOSE'
BLIND , 'BLIND OR DIFFICULTY SEEING'
BPALCADV , 'HLTH CARE PRO EVER ADVISED REDUCED ALCOHOL USE TO REDUCE BP'
BPALCHOL , 'REDUCE ALCOHOL USE FOR BP?'
BPEATADV , 'HLTH CARE PRO EVER ADVISED CHANGE IN EATING HABITS TO REDUCE BP'
BPEATHBT , 'CHANGE EATING HABITS FOR BP?'
BPEXER , 'EXERCISING TO LOWER BP?'
BPEXRADV , 'HLTH CARE PRO EVER ADVISED EXERCISE TO REDUCE BP'
BPHI2MR , 'TOLD HAD HIGH BP DURING 2+ VISITS TO HLTH CARE PRO?'
BPHIGH4 , 'EVER TOLD BLOOD PRESSURE HIGH'
BPMEDADV , 'HLTH CARE PRO EVER ADVISED MEDS TO REDUCE BP'
BPMEDS , 'CURRENTLY TAKING BLOOD PRESSURE MEDICATION'
BPSALT , 'REDUCE SALT INTAKE TO LOWER BP?'
BPSLTADV , 'HLTH CARE PRO EVER ADVISED USING LESS SALT TO REDUCE BP'
CADULT , 'ARE YOU 18 YEARS OF AGE OR OLDER?'
CAREGIV1 , 'PROVIDED REGULAR CARE FOR FAMILY OR FRIEND'
CARERCVD , 'SATISFIED WITH CARE RECEIVED'
CASTHDX2 , 'HLTH PRO EVER SAID CHILD HAS ASTHMA'
CASTHNO2 , 'CHILD STILL HAVE ASTHMA?'
CCLGHOUS , 'DO YOU LIVE IN COLLEGE HOUSING?'
CDASSIST , 'NEED ASSISTANCE WITH DAY-TO_DAY ACTIVITIES DUE TO CONFUSION OR MEMORY LOSS'
CDDISCUS , 'HAVE YOU DISCUSSED YOUR CONFUSION OR MEMORY LOSS WITH A HEALTH CARE PROFESSIONAL?'
CDHELP , 'WHEN YOU NEED HELP WITH DAY-TO-DAY ACTIVITIES ARE YOU ABLE TO GET IT'
CDHOUSE , 'GIVEN UP DAY-TO-DAY CHORES DUE TO CONFUSION OR MEMORY LOSS'
CDSOCIAL , 'DOES CONFUSION OR MEMORY LOSS INTERFERE WITH WORK OR SOCIAL ACTIVITIES'
CELLFON4 , 'CELLULAR TELEPHONE'
CELLFON5 , 'IS THIS A CELL TELEPHONE?'
CHCCOPD1 ," '(EVER TOLD) YOU HAVE (COPD) CHRONIC OBSTRUCTIVE PULMONARY DISEASE, EMPHYSEMA OR CHRONIC BRONCHITIS?'"
CHCKIDNY , '(EVER TOLD) YOU HAVE KIDNEY DISEASE?'
CHCOCNCR , '(EVER TOLD) YOU HAD ANY OTHER TYPES OF CANCER?'
