Variable,Description
JNUMERRND,Edit flag for NUMERRND
JNUMHEAR,Edit flag for NUMHEAR
JNUMMEMRY,Edit flag for NUMMEMRY
JNUMNONREL,Edit flag for NUMNONREL
JNUMOLDKIDS,Edit flag for NUMOLDKIDS
JNUMPEOPLE,Edit flag for NUMPEOPLE
JNUMSECFAM,Edit flag for NUMSECFAM
JNUMSEE,Edit flag for NUMSEE
JNUMSUBFAM,Edit flag for NUMSUBFAM
JNUMVETS,Edit flag for NUMVETS
JNUMWALK,Edit flag for NUMWALK
JNUMYNGKIDS,Edit flag for NUMYNGKIDS
JOCCAPRIL,Edit flag for OCCAPRIL
JOCCAUGUST,Edit flag for OCCAUGUST
JOCCDECEM,Edit flag for OCCDECEM
JOCCFEBRU,Edit flag for OCCFEBRU
JOCCJANUR,Edit flag for OCCJANUR
JOCCJULY,Edit flag for OCCJULY
JOCCJUNE,Edit flag for OCCJUNE
JOCCMARCH,Edit flag for OCCMARCH
JOCCMAY,Edit flag for OCCMAY
JOCCNOVEM,Edit flag for OCCNOVEM
JOCCOCTOB,Edit flag for OCCOCTOB
JOCCSEPTEM,Edit flag for OCCSEPTEM
JOCCYRRND,Edit flag for OCCYRRND
JOILAMT,Edit flag for OILAMT
JOTHERAMT,Edit flag for OTHERAMT
JOWNLOT,Edit flag for OWNLOT
JPAINTPEEL,Edit flag for PAINTPEEL
JPARKING,Edit flag for PARKING
JPARTNER,Edit flag for PARTNER
JPERMNEAR,Edit flag for PERMNEAR
JPERPOVLVL,Edit flag for PERPOVLVL
JPLUGS,Edit flag for PLUGS
JPOOLAMT,Edit flag for POOLAMT
JPORCH,Edit flag for PORCH
JPOVLVLINC,Edit flag for POVLVLINC
JPROTAXAMT,Edit flag for PROTAXAMT
JRATINGHS,Edit flag for RATINGHS
JRATINGNH,Edit flag for RATINGNH
JREMODAMT,Edit flag for REMODAMT
JREMODJOBS,Edit flag for REMODJOBS
JRENT,Edit flag for RENT
JRENTCNTRL,Edit flag for RENTCNTRL
JRENTSUB,Edit flag for RENTSUB
JRMCHANGE,Edit flag for RMCHANGE
JRMCOMMUTE,Edit flag for RMCOMMUTE
JRMCOSTS,Edit flag for RMCOSTS
JRMFAMILY,Edit flag for RMFAMILY
JRMHOME,Edit flag for RMHOME
JRMHOOD,Edit flag for RMHOOD
JRMJOB,Edit flag for RMJOB
JRMOTHER,Edit flag for RMOTHER
JRMOWNHH,Edit flag for RMOWNHH
JROACH,Edit flag for ROACH
JRODENT,Edit flag for RODENT
JROOFHOLE,Edit flag for ROOFHOLE
JROOFSAG,Edit flag for ROOFSAG
JROOFSHIN,Edit flag for ROOFSHIN
JSEARCHFAM,Edit flag for SEARCHFAM
JSEARCHLIST,Edit flag for SEARCHLIST
JSEARCHNET,Edit flag for SEARCHNET
JSEARCHOTH,Edit flag for SEARCHOTH
JSEARCHPUB,Edit flag for SEARCHPUB
JSEARCHREA,Edit flag for SEARCHREA
JSEARCHSIGN,Edit flag for SEARCHSIGN
JSEARCHSTOP,Edit flag for SEARCHSTOP
JSEWBREAK,Edit flag for SEWBREAK
JSEWTYPE,Edit flag for SEWTYPE
JSEWUSERS,Edit flag for SEWUSERS
JSOLAR,Edit flag for SOLAR
JSTORIES,Edit flag for STORIES
JSUBDIV,Edit flag for SUBDIV
JSUBSIDY,Edit flag for SUBSIDY
JSUBWAY,Edit flag for SUBWAY
JSUITYRRND,Edit flag for SUITYRRND
JSUPP1HEAT,Edit flag for SUPP1HEAT
JSUPP2HEAT,Edit flag for SUPP2HEAT
JTAXI,Edit flag for TAXI
JTENURE,Edit flag for TENURE
JTIMESHARE,Edit flag for TIMESHARE
JTOLL,Edit flag for TOLL
JTOTBALAMT,Edit flag for TOTBALAMT
JTOTHCAMT,Edit flag for TOTHCAMT
JTOTROOMS,Edit flag for TOTROOMS
JTRANAMT,Edit flag for TRANAMT
JTRASHAMT,Edit flag for TRASHAMT
JUFINROOMS,Edit flag for UFINROOMS
JUNITFLOORS,Edit flag for UNITFLOORS
JUNITSIZE,Edit flag for UNITSIZE
JUPKEEP,Edit flag for UPKEEP
JUTILAMT,Edit flag for UTILAMT
JVACANCY,Edit flag for VACANCY
JVACINHER,Edit flag for VACINHER
JVACINVEST,Edit flag for VACINVEST
JVACMONTHS,Edit flag for VACMONTHS
JVACOTH,Edit flag for VACOTH
JVACPRIRES,Edit flag for VACPRIRES
JVACREC,Edit flag for VACREC
JVACRESDAYS,Edit flag for VACRESDAYS
JVACRNTDAYS,Edit flag for VACRNTDAYS
JVACSELL,Edit flag for VACSELL
JVAN,Edit flag for VAN
JWALK,Edit flag for WALK
JWALLCRACK,Edit flag for WALLCRACK
JWALLSIDE,Edit flag for WALLSIDE
JWALLSLOPE,Edit flag for WALLSLOPE
JWASHER,Edit flag for WASHER
JWATERAMT,Edit flag for WATERAMT
JWATSOURCE,Edit flag for WATSOURCE
JWINBARS,Edit flag for WINBARS
JWINBOARD,Edit flag for WINBOARD
JWINBROKE,Edit flag for WINBROKE
JYRBUILT,Edit flag for YRBUILT
DBEVICLK,Likelihood of leaving home because of eviction
DBEVICNOTE,Receipt of eviction notice
DBEVICTHT,Threat of eviction
DBFORCWHR,Where household would go in event of foreclosure
DBLVEFORC,Likelihood of leaving home due to foreclosure
RENT,Monthly rent amount
BATHEXCLU,Bathroom facilities for household use only
DISHWASH,Unit has working dishwasher
SOLAR,Unit has solar panels
GARAGE,Garage or carport
DINING,Number of dining rooms
LAUNDY,Number of laundry or utility rooms
STORIES,Stories in building
NOSTEP,No step entrance
GUTREHB,Gut rehab
CONDO,Condominium
SEARCHFAM,"Found home through family, friends, or other word of mouth"
SEARCHLIST,Found home through apartment rental agency listing
SEARCHNET,Found home through the Internet
SEARCHOTH,Found home through some other way
SEARCHPUB,Found home through newspaper or publication
SEARCHREA,Found home through real estate agent
SEARCHSIGN,Found home through sign outside of building
RMCHANGE,Moved because of change in household
RMCOMMUTE,Moved to reduce commute
RMCOSTS,Moved to reduce housing costs
RMFAMILY,Moved for family
RMHOME,Moved for better home
RMHOOD,Moved to be in more desirable neighborhood
RMJOB,Moved for job
RMOWNHH,Moved to form household
RMOTHER,Moved for another reason
HMRACCESS,Home improvements done to make home more accessible for elderly or disabled in last two years
HMRENEFF,Home improvements done to make home more energy efficient in last two years
HMRSALE,Home improvements done to get house ready for sale  in last two years
BIKE,Flag indicating bike to work
WALK,Flag indicating walk to work
TRANAMT,Amount of out-of-pocket expenses for public transportation
COMDAYS,Number of days the respondent commutes to work
DIST,Round trip commute distance
POOLAMT,Amount of carpool expenses
RATINGHS,Rating of unit
RATINGNH,Rating of neighborhood
NHQPCRIME,Neighborhood has a lot of petty crime
NHQPUBTRN,Neighborhood has public transportation
NHQRISK,Neighborhood is at high risk for floods or other disasters
NHQSCHOOL,Neighborhood has good schools
NHQSCRIME,Neighborhood has a lot of serious crime
NORC,Respondent thinks the majority of neighbors 55 or older
SUBDIV,Flag indicating house is part of a subdivision or housing development
NOWIRE,Electrical wiring concealed by walls
TENURE,Owner or renter status of unit
MHWIDE,MH type
PLUGS,Every room has working electrical plug
CELLPHONE,Number of adults with cell phones
PORCH,"Porch, deck, or balcony"
LEAKO,Outside water leaks in last 12 months
LEAKI,Inside water leaks in last 12 months
NOTOIL,Toilet breakdowns in last 3 months
PAINTPEEL,Peeling paint larger than 8 x 11
HOWBUY,Description of how owner obtained unit
OCCJANUR,Unit is typically occupied in January
OCCFEBRU,Unit is typically occupied in February
OCCMARCH,Unit is typically occupied in March
OCCAPRIL,Unit is typically occupied in April
OCCMAY,Unit is typically occupied in May
OCCJUNE,Unit is typically occupied in June
OCCJULY,Unit is typically occupied in July
OCCAUGUST,Unit is typically occupied in August
OCCSEPTEM,Unit is typically occupied in September
OCCOCTOB,Unit is typically occupied in October
OCCNOVEM,Unit is typically occupied in November
OCCDECEM,Unit is typically occupied in December
OCCYRRND,Unit is typically occupied year-round
LEADINSP,Lead pipes inspected before purchase
MONLSTOCC,Number months since occupied as permanent home
SUITYRRND,Unit suitable for year round use
TIMESHARE,Timeshare
VACRESDAYS,Number of nights owner spends at this unit
VACRNTDAYS,Unit was rented out
PERMNEAR,Unit is within 150 miles of owners residence
VACPRIRES,Unit was a previous usual residence
VACREC,Unit is used for recreational purposes
VACINVEST,Unit is used for investment purposes
VACSELL,Owner wishes to sell this unit
VACINHER,Unit was inherited
VACOTH,Unit is owned for some other reason
OWNLOT,Owner owns the lot
RENTCNTRL,Rent control
RENTSUB,Type of rental subsidy or reduction (based on respondent report)
NEARABAND,Buildings that are abandoned or vandalized buildings within 1/2 block
NEARBARCL,Buildings with bars on windows within 1/2 block
NEARTRASH,"Trash, litter, or junk in streets, lots, or properties within 1/2 block"
BUS,Flag indicating bus used for commute
SUBWAY,Flag indicating subway used for commute
VAN,Flag indicating commuter van used for commute
DBMISSMORT,Inability to pay mortgage
DBMISSRENT,Inability to pay rent
DBUTBILL,Received utility shut-off notice
DBEVICWHERE,Where household would go in event of eviction
INTLANG,Interview language
DIVISION,Census division
OMB13CBSA,2013 OMB CBSA code
WEIGHT,Final weight
SP1WEIGHT,Final weight for split sample group 1
SP2WEIGHT,Final weight for split sample group 2
INTMODE,Interview mode
INTSTATUS,Interview status
INTMONTH,Interview month
BLD,Type of housing unit
ENTRYSYS,MF entry system
HHSEX,Sex of householder
HHMAR,Marital status of householder
HHSPAN,Spanish origin of householder
HHCITSHP,US citizenship of householder
MILHH,Type of military household
HHAGE,Age of householder
HHMOVE,Year householder moved in
HHINUSYR,Year householder came to US
HHRACE,Race of householder
HHRACEAS,Race of householder (Asian group)
HHRACEPI,Race of householder (Native Hawaiian or other Pacific Islander group)
HHGRAD,Educational level of householder
HHNATVTY,Country of birth of householder
HHENROLL,School enrollment status of householder
PARTNER,Flag indicating unmarried partner household
HSHLDTYPE,Type of household
SAMEHHLD,Flag indicating if the household members are the same as the previous survey year
NUMELDERS,Number of persons age 65 and over living in this unit
NUMADULTS,Number of persons age 18 and over living in this unit
NUMNONREL,Number of non-relatives living in this unit
HHYNGKIDS,"Number of the householder's children under age 6, living in this unit"
HHOLDKIDS,"Number of the householder's children age 6 through 17, living in this unit"
NUMVETS,Number of veterans living in this unit
NUMYNGKIDS,Number of children under age 6 living in this unit
NUMOLDKIDS,Number of children age 6 through 17 living in this unit
NUMSUBFAM,Number of subfamilies living in this unit
NUMSECFAM,Number of secondary families living in this unit
NUMPEOPLE,Number of persons living in this unit
HHADLTKIDS,"Number of the householder's unmarried children age 18 and over, living in this unit"
GRANDHH,Flag indicating grandparent headed household with no parent present
MULTIGEN,Type of multigenerational household
UFINROOMS,Number of other unfinished rooms
MHANCHOR,MH anchor method
LOTSIZE,Lot size (acres)
FINROOMS,Total number of other finished rooms
YRBUILT,Year built
HOA,Homeowner's association
FOUNDTYPE,Foundation type
UNITFLOORS,Floors in unit
UNITSIZE,Unit size (square feet)
BEDROOMS,Number of bedrooms
KITCHENS,Number of kitchens
MONOXIDE,Carbon monoxide detector
WATSOURCE,Source of water for unit
SEWUSERS,Number of units connected to septic tank or cesspool
KITEXCLU,Kitchen facilities for household use only
FRIDGE,Unit has working refrigerator
KITCHSINK,Unit has kitchen sink
WASHER,Unit has working washing machine
COOKTYPE,Type of cooking equipment
COOKFUEL,Fuel used most for cooking
DRYER,Clothes dryer type
SEWTYPE,Type of sewer system
BATHROOMS,Number of bathrooms
HOTWATER,Type of hot water system
HEATFUEL,Main heating fuel
FIREPLACE,Unit has useable fireplace
ACPRIMARY,Primary AC
ACSECNDRY,Secondary AC
HEATTYPE,Main heating equipment
SUPP1HEAT,First type of supplemental heating
SUPP2HEAT,Second type of supplemental heating
COLD,Unit uncomfortably cold for 24 hours or more
COLDEQ,Main heating equipment broke down
NOWAT,Unit completely without running water
COLDUTIL,Unit cold due to utility interruption
COLDHTCAP,Unit cold due to inadequate heating capacity
COLDINSUL,Unit cold due to inadequate insulation
COLDCOST,Unit cold due to cost of heating
COLDOTHER,Unit cold because of some other reason
LEAKOROOF,Water leak from roof
LEAKOBASE,Water leak from basement
LEAKOWALL,Water leak from wall or closed window or door
LEAKOOTH,Water leak from somewhere else outside
LEAKIPLUM,Water leak from own plumbing fixtures
LEAKIPIPE,Water leak from pipes leaking
LEAKIWATH,Water leak from broken water heater
LEAKIOTH,Water leak from somewhere else inside
LEAKIDK,Water leak with unknown inside source
WALLCRACK,Walls or ceilings have open holes or cracks wider than dime
FLOORHOLE,Floor has holes
FNDCRUMB,"Foundation holes, cracks, or crumbling"
ROOFSHIN,Roof missing shingles or other roofing materials
ROOFHOLE,Roof has holes
ROOFSAG,Roof sags or is uneven
WALLSIDE,"Outside walls missing siding, bricks, or other materials"
WALLSLOPE,"Outside walls slope, lean, slant, or buckle"
WINBOARD,Windows boarded up
WINBROKE,Windows broken
WINBARS,Windows covered with metal bars
COLDEQFREQ,Number of times main heating equipment broke down
NOWATFREQ,Number of times completely without running water
NOTOILFREQ,Number of toilet breakdowns 6 hours or more
MOLDKITCH,Mold in kitchen
MOLDBATH,Mold in bathroom
MOLDBEDRM,Mold in bedroom
MOLDBASEM,Mold in basement
MOLDLROOM,Mold in living room
MOLDOTHER,Mold in other room
RODENT,Rodent frequency
ROACH,Roach frequency
SEWBREAK,Number of sewer breakdowns
FUSEBLOW,Fuses blown or circuit breakers tripped
VACMONTHS,Number months unit has been vacant
DWNPAYPCT,Down payment percentage
MHMOVE,Mobile home to be moved
ELECAMT,Monthly electric amount
GASAMT,Monthly gas amount
OILAMT,Monthly oil amount
OTHERAMT,Monthly amount for other fuels
TRASHAMT,Monthly trash amount
WATERAMT,Monthly water amount
UTILAMT,Monthly total utility amount
REMODJOBS,Total number of home improvement jobs in last two years
FS,SNAP
HHHEAR,Householder has difficulty hearing
HHSEE,Householder has difficulty seeing
HHMEMRY,Householder has difficulty concentrating or remembering
HHWALK,Householder has difficulty walking or climbing stairs
HHCARE,Householder has difficulty dressing or bathing
HHERRND,Householder has difficulty doing errands
NUMHEAR,Number of persons who have difficulty hearing
NUMSEE,Number of persons who have difficulty seeing
NUMMEMRY,Number of persons who have difficulty concentrating or remembering
NUMWALK,Number of persons who have difficulty walking or climbing stairs
NUMCARE,Number of persons who have difficulty dressing or bathing
NUMERRND,Number of persons who have difficulty doing errands
DISHH,Flag indicating disabled person household
MVG1TYPE,Type of structure of former home (mover group 1)
MVG2TYPE,Type of structure of former home (mover group 2)
MVG3TYPE,Type of structure of former home (mover group 3)
MVG1TEN,Tenure of former home (mover group 1)
MVG2TEN,Tenure of former home (mover group 2)
MVG3TEN,Tenure of former home (mover group 3)
MVG1PER,Number of people in former home (mover group 1)
MVG2PER,Number of people in former home (mover group 2)
MVG3PER,Number of people in former home (mover group 3)
MVG1COST,Comparison of housing costs to former home (mover group 1)
MVG2COST,Comparison of housing costs to former home (mover group 2)
MVG3COST,Comparison of housing costs to former home (mover group 3)
MVG1STAT,Former home was owned/rented by someone in current home (mover group 1)
MVG2STAT,Former home was owned/rented by someone in current home (mover group 2)
MVG3STAT,Former home was owned/rented by someone in current home (mover group 3)
MVG1LOC,Move was more than 50 miles (mover group 1)
MVG2LOC,Move was more than 50 miles (mover group 2)
MVG3LOC,Move was more than 50 miles (mover group 3)
SEARCHSTOP,Reason for stopping housing search sooner than preferred
MOVFORCE,"Forced to move by landlord, bank, government, or disaster"
MOVWHY,Why respondent was forced to move
HRATE,Rating of current home
NRATE,Rating of current neighborhood
CARPOOL,Flag indicating carpool use and number of people in the carpool
TAXI,Amount of taxi expenses
FERRY,Amount of ferry expenses
DRIVEALL,Number of days (per week) the respondent drives all the way to work
COMPANYCAR,Flag indicating company vehicle used for commute
DRIVEPART,Flag indicating own vehicle used for part of commute
PARKING,Amount of parking expenses
TOLL,Amount of toll expenses
SUBSIDY,Flag indicating transit subsidy
DPALTCOM,Flag indicating alternative communication plan
DPGENERT,Flag indicating generator
DPDRFOOD,Flag indicating emergency food
DPEMWATER,Flag indicating emergency water
DPEVFIN,Flag indicating financial resources available
DPEVINFO,Flag indicating disaster plan with financial and contact info
DPEVKIT,Flag indicating emergency kit prepared
DPEVLOC,Flag indicating evacuation location
DPEVVEHIC,Flag indicating vehicle available
DPGETINFO,Flag indicating source of information during a disaster
DPSHELTR,Flag indicating unit has tornado shelter
DPEVSEP,Flag indicating meeting spot
DPEVACPETS,Household needs assistance evacuating pets
DPFLDINS,Presence of  flood insurance and reason for purchase
DPMAJDIS,Type of major disaster in last two years for rental unit
MGRONSITE,Owner or property manager onsite
ADEQUACY,Housing adequacy
POVLVLINC,Federal poverty level threshold
HUDSUB,Subsidized renter status and eligibility
UPKEEP,Type of upkeep problems
SPLITSAMP,Flag indicating split sample group
VACANCY,Vacancy status
REPWEIGHT1,Replicate Weight 1
REPWEIGHT2,Replicate Weight 2
REPWEIGHT3,Replicate Weight 3
REPWEIGHT4,Replicate Weight 4
REPWEIGHT5,Replicate Weight 5
REPWEIGHT6,Replicate Weight 6
REPWEIGHT7,Replicate Weight 7
REPWEIGHT8,Replicate Weight 8
REPWEIGHT9,Replicate Weight 9
REPWEIGHT10,Replicate Weight 10
REPWEIGHT11,Replicate Weight 11
REPWEIGHT12,Replicate Weight 12
REPWEIGHT13,Replicate Weight 13
REPWEIGHT14,Replicate Weight 14
REPWEIGHT15,Replicate Weight 15
REPWEIGHT16,Replicate Weight 16
REPWEIGHT17,Replicate Weight 17
REPWEIGHT18,Replicate Weight 18
REPWEIGHT19,Replicate Weight 19
REPWEIGHT20,Replicate Weight 20
REPWEIGHT21,Replicate Weight 21
REPWEIGHT22,Replicate Weight 22
REPWEIGHT23,Replicate Weight 23
REPWEIGHT24,Replicate Weight 24
REPWEIGHT25,Replicate Weight 25
REPWEIGHT26,Replicate Weight 26
REPWEIGHT27,Replicate Weight 27
REPWEIGHT28,Replicate Weight 28
REPWEIGHT29,Replicate Weight 29
REPWEIGHT30,Replicate Weight 30
REPWEIGHT31,Replicate Weight 31
REPWEIGHT32,Replicate Weight 32
REPWEIGHT33,Replicate Weight 33
REPWEIGHT34,Replicate Weight 34
REPWEIGHT35,Replicate Weight 35
REPWEIGHT36,Replicate Weight 36
REPWEIGHT37,Replicate Weight 37
REPWEIGHT38,Replicate Weight 38
REPWEIGHT39,Replicate Weight 39
REPWEIGHT40,Replicate Weight 40
REPWEIGHT41,Replicate Weight 41
REPWEIGHT42,Replicate Weight 42
REPWEIGHT43,Replicate Weight 43
REPWEIGHT44,Replicate Weight 44
REPWEIGHT45,Replicate Weight 45
REPWEIGHT46,Replicate Weight 46
REPWEIGHT47,Replicate Weight 47
REPWEIGHT48,Replicate Weight 48
REPWEIGHT49,Replicate Weight 49
REPWEIGHT50,Replicate Weight 50
REPWEIGHT51,Replicate Weight 51
REPWEIGHT52,Replicate Weight 52
REPWEIGHT53,Replicate Weight 53
REPWEIGHT54,Replicate Weight 54
REPWEIGHT55,Replicate Weight 55
REPWEIGHT56,Replicate Weight 56
REPWEIGHT57,Replicate Weight 57
REPWEIGHT58,Replicate Weight 58
REPWEIGHT59,Replicate Weight 59
REPWEIGHT60,Replicate Weight 60
REPWEIGHT61,Replicate Weight 61
REPWEIGHT62,Replicate Weight 62
REPWEIGHT63,Replicate Weight 63
REPWEIGHT64,Replicate Weight 64
REPWEIGHT65,Replicate Weight 65
REPWEIGHT66,Replicate Weight 66
REPWEIGHT67,Replicate Weight 67
