#rxn	rxn (extended name)	Rhea ID	EC number
2DHPtm	2 Dehydropantoate mitochondrial transport		
2OHPH_5tn	2 Octaprenyl 6 hydroxyphenol nuclear transport		
2OMPH_5tm	2 Octaprenyl 6 methoxyprenol mitochondrial transport		
2OMPH_5tn	2 Octaprenyl 6 methoxyprenol nuclear transport		
34HPPOR	4 Hydroxyphenylpyruvateoxygen oxidoreductase	RHEA:16192, RHEA:16190, RHEA:16189, RHEA:16191	EC:1.13.11.27
34HPPt2m	3 4 hydroxyphenyl pyruvate mitochondrial transport via proton symport		
34HPPt2p	3 4 hydroxyphenyl pyruvate peroxisomal transport via proton symport		
3OPHB_5tm	3 Octaprenyl 4 hydroxybenzoate mitochondrial transport		
4HBZtm	4 Hydroxybenzoate mitochondrial transport		
5AOPtm	5 Aminolevulinate mitochondrial transport		
8AONNt2	8 Amino 7 oxononanoate reversible transport via proton symport		
AABTN	4 acetamidobutyrate deacetylase	RHEA:15898, RHEA:15899, RHEA:15900, RHEA:18901, RHEA:15897	EC:3.5.1.63, EC:3.5.1.64
ACRNtp	acetylcarnitine transport out of peroxisome		
ARGSSr	argininosuccinate synthase reversible	RHEA:10933, RHEA:10935, RHEA:10932, RHEA:10934	EC:6.3.4.5
ACtm	acetate transport mitochondrial	RHEA:27817, RHEA:27816, RHEA:27815, RHEA:27814	
ACtp	acetate transport peroxisomal	RHEA:27817, RHEA:27816, RHEA:27815, RHEA:27814	
ADCL	4 aminobenzoate synthase	RHEA:16202, RHEA:16203, RHEA:16204, RHEA:16201	EC:4.1.3.38
ADEtm	adenine reversible transport mitochondria		
ADNt2	adenosine transport in via proton symport	RHEA:29988, RHEA:29989, RHEA:29990, RHEA:29987	
G5SADr	L glutamate 5 semialdehyde dehydratase reversible	RHEA:28234, RHEA:28237, RHEA:28235, RHEA:28236	
AHCYStm	S adenosyl L homocysteine reversible transport mitochondrial		
AHCYStn	S adenosyl L homocysteine nuclear transport		
AHMMPS	4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase		
AKGMAL	alpha ketoglutaratemalate transporter		
