rxn_id	rxn_name
2DHPtm	2 Dehydropantoate mitochondrial transport
2OHPH_5tn	2 Octaprenyl 6 hydroxyphenol nuclear transport
2OMPH_5tm	2 Octaprenyl 6 methoxyprenol mitochondrial transport
2OMPH_5tn	2 Octaprenyl 6 methoxyprenol nuclear transport
34HPPOR	4 Hydroxyphenylpyruvateoxygen oxidoreductase
34HPPt2m	3 4 hydroxyphenyl pyruvate mitochondrial transport via proton symport
34HPPt2p	3 4 hydroxyphenyl pyruvate peroxisomal transport via proton symport
3OPHB_5tm	3 Octaprenyl 4 hydroxybenzoate mitochondrial transport
4HBZtm	4 Hydroxybenzoate mitochondrial transport
5AOPtm	5 Aminolevulinate mitochondrial transport
8AONNt2	8 Amino 7 oxononanoate reversible transport via proton symport
AABTN	4 acetamidobutyrate deacetylase
ACRNtp	acetylcarnitine transport out of peroxisome
ARGSSr	argininosuccinate synthase reversible
ACtm	acetate transport mitochondrial
ACtp	acetate transport peroxisomal
ADCL	4 aminobenzoate synthase
ADEtm	adenine reversible transport mitochondria
ADNt2	adenosine transport in via proton symport
G5SADr	L glutamate 5 semialdehyde dehydratase reversible
AHCYStm	S adenosyl L homocysteine reversible transport mitochondrial
AHCYStn	S adenosyl L homocysteine nuclear transport
AHMMPS	4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase
AKGMAL	alpha ketoglutaratemalate transporter
AKGt2n	2 oxoglutarate nuclear transport via proton symport
AKGt2r	2 oxoglutarate reversible transport via symport
AM6SAD	aminomuconate semialdehyde dehydrogenase
AMETtm	S Adenosyl L methionine reversible transport mitochondrial
AMETtn	S adenosyl L methionine nuclear transport
APRTO2	N acetylputrescine oxygen oxireductase deaminating
ARAB_Dt	D arabinose reversible transport
ARAB_Lt	L arabinoase extracellular transport
ARGt2m	arginine mitochondrial transport via proton symport
ASNt2m	asparagine mitochondrial transport via proton transport
ASP1DC	aspartate 1 decarboxylase
ASPGLUtp	aspartate glutamate peroxisomal shuttle
ASPt2m	aspartate mitochondrial transport via proton symport
ATPM	ATP maintenance requirement
SERATi	serine O acetyltransferase irreversible
DESAT18_2	Oleoyl CoA desaturase n C181CoA n C182CoA
