prompt,output
Answer the provided question: What is the primary function of the mitochondria in a cell? A) Protein synthesis B) DNA replication C) Energy production D) Waste removal,C
Answer the provided question: Who wrote the philosophical work 'Critique of Pure Reason'? A) Descartes B) Kant C) Hume D) Nietzsche,B
"Answer the provided question: In U.S. law, what is *habeas corpus* primarily used for? A) To declare bankruptcy B) To challenge unlawful detention C) To request a retrial D) To appeal a verdict",B
Answer the provided question: What gas do plants absorb from the atmosphere? A. Oxygen B. Nitrogen C. Carbon Dioxide D. Hydrogen,C
Answer the provided question: Which planet is known as the Red Planet? A. Earth B. Venus C. Jupiter D. Mars,D
Answer the provided question: What is the capital of Japan? A. Seoul B. Tokyo C. Beijing D. Bangkok,B
Answer the provided question: Who developed the theory of relativity? A. Isaac Newton B. Albert Einstein C. Galileo Galilei D. Niels Bohr,B
Answer the provided question: What is the powerhouse of the cell? A. Nucleus B. Mitochondria C. Ribosome D. Endoplasmic Reticulum,B
Answer the provided question: Which element has the chemical symbol 'O'? A. Gold B. Oxygen C. Osmium D. Oxide,B
Answer the provided question: What is the longest river in the world? A. Amazon B. Yangtze C. Nile D. Mississippi,C
