Variable,Description
ACEADNED , 'DID AN ADULT MAKE SURE BASIC NEEDS WERE MET'
ACEADSAF , 'DID AN ADULT MAKE YOU FEEL SAFE AND PROTECTED'
ACEDEPRS ," 'LIVE WITH ANYONE DEPRESSED, MENTALLY ILL, OR SUICIDAL?'"
ACEDIVRC , 'WERE YOUR PARENTS DIVORCED/SEPERATED?'
ACEDRINK , 'LIVE WITH A PROBLEM DRINKER/ALCOHOLIC?'
ACEDRUGS , 'LIVE WITH ANYONE WHO USED ILLEGAL DRUGS OR ABUSED PRESCRIPTIONS?'
ACEHURT1 , 'HOW OFTEN DID A PARENT PHYSICALLY HURT YOU IN ANY WAY?'
ACEHVSEX , 'HOW OFTEN DID ANYONE EVER FORCE YOU TO HAVE SEX?'
ACEPRISN , 'LIVE WITH ANYONE WHO SERVED TIME IN PRISON OR JAIL?'
ACEPUNCH , 'HOW OFTEN DID YOUR PARENTS BEAT EACH OTHER UP?'
ACESWEAR , 'HOW OFTEN DID A PARENT SWEAR AT YOU?'
ACETOUCH , 'HOW OFTEN DID ANYONE EVER TOUCH YOU SEXUALLY?'
ACETTHEM , 'HOW OFTEN DID ANYONE MAKE YOU TOUCH THEM SEXUALLY?'
ACTIN13_ , 'ESTIMATED ACTIVITY INTENSITY FOR FIRST ACTIVITY'
ACTIN23_ , 'ESTIMATED ACTIVITY INTENSITY FOR SECOND ACTIVITY'
ADDEPEV3 , '(EVER TOLD) YOU HAD A DEPRESSIVE DISORDER'
ALCDAY4 , 'DAYS IN PAST 30 HAD ALCOHOLIC BEVERAGE'
ARTHDIS2 , 'DOES ARTHRITIS AFFECT WHETHER YOU WORK'
ARTHEDU , 'EVER TAKEN CLASS IN MANAGING ARTHRITIS OR JOINT SYMPTOMS'
ARTHEXER , 'DR. SUGGEST USE OF PHYSICAL ACTIVITY OR EXERCISE FOR ARTHRITIS OR JOINT SYMPTOMS'
ASPIRIN , 'HOW OFTEN DO YOU TAKE AN ASPIRIN'
ASTHMA3 , 'EVER TOLD HAD ASTHMA'
ASTHNOW , 'STILL HAVE ASTHMA'
AVEDRNK3 , 'AVG ALCOHOLIC DRINKS PER DAY IN PAST 30'
BIRTHSEX , 'ARE YOU MALE OR FEMALE?'
BLDSTFIT , 'WAS TEST PART OF COLOGUARD TEST?'
BLIND , 'BLIND OR DIFFICULTY SEEING'
BPHIGH6 , 'EVER TOLD BLOOD PRESSURE HIGH'
BPMEDS1 , 'CURRENTLY TAKING PRESCRIPTION BLOOD PRESSURE MEDICATION'
CADULT1 , 'ARE YOU 18 YEARS OF AGE OR OLDER?'
CAGEG , 'FOUR LEVEL CHILD AGE'
CAREGIV1 , 'PROVIDED REGULAR CARE FOR FAMILY OR FRIEND'
CASTHDX2 , 'HLTH PRO EVER SAID CHILD HAS ASTHMA'
CASTHNO2 , 'CHILD STILL HAVE ASTHMA?'
CCLGHOUS , 'DO YOU LIVE IN COLLEGE HOUSING?'
CDDISCU1 , 'HAVE YOU DISCUSSED YOUR DIFFICULTIES WITH THINKING WITH A HEALTH CARE PROVIDER?'
CDHOUS1 , 'GIVEN UP DAY-TO-DAY CHORES DUE TO DIFFICULTIES WITH THINKING OR MEMORY'
CDSOCIA1 , 'DOES DIFFICULTIES WITH THINKING OR MEMORY INTERFERE WITH WORK OR SOCIAL ACTIVITIES'
CDWORRY , 'ARE YOU WORRIED ABOUT THESE DIFFICULTIES WITH THINKING OR MEMORY?'
CELLFON5 , 'IS THIS A CELL PHONE?'
