Variable,Description
GEOID,Geographic Identifier - fully concatenated geographic code (State FIPS and district number)
STATE,Census 2-digit FIPS State Code
COUNTY,Census 5-digit FIPS County Code
TRACT,Census 11-digit FIPS Tract Code
STUSAB,State Abbreviation
blkgrp,block group
households,number of households
area_median_income,area median income
blkgrp_median_income_owners,block group median income (homeowners)
blkgrp_median_income_renters,block group median income (renters)
avg_hh_size_owners,average homeowner household size
avg_hh_size_renters,average renter household size
commuters_per_hh_owners,average commuters per homeowner household
commuters_per_hh_renters,average commuters per renter household
pct_renters,percent of units occupied by renters
gross_hh_density,households per acre
median_rooms_per_owner_unit,median rooms per unit for homeowners
median_rooms_per_renter_unit,median rooms per unit for renters
pct_detatched_single_family_unit,percent of units that are single-family detached
median_commute_distance,median commute distance
block_denstiy,blocks per acre
employment_access_index,Employment Access Index
local_job_density,Local Job Density (overall)
local_retail_job_density,Local Job Density (retail)
retail_access_index,Retail Access Index
hh_type1_income,HH profile 1 income
hh_type1_size,HH profile 1 size
hh_type1_workers,HH profile 1 number of commuters
hh_type1_ht,HH profile 1 estimated housing+transportation costs % of income
hh_type1_h,HH profile 1 estimated housing costs % of income
hh_type1_t,HH profile 1 estimated transportation costs % of income
hh_type1_autos,HH profile 1 estimated autos owned
hh_type1_vmt,HH profile 1 estimated annual VMT
hh_type1_transit_trips,HH profile 1 estimated annual transit trips
hh_type1_ht_own,HH profile 1 estimated housing+transportation costs % of income (owners)
hh_type1_h_own,HH profile 1 estimated housing costs % of income (owners)
hh_type1_t_own,HH profile 1 estimated transportation costs % income (owners)
hh_type1_autos_own,HH profile 1 estimated autos owned (owners)
hh_type1_vmt_own,HH profile 1 estimated annual VMT (owners)
hh_type1_transit_trips_own,HH profile 1 estimated annual transit trips (owners)
hh_type1_ht_rent,HH profile 1 estimated housing+transportation costs % of income (renters)
hh_type1_h_rent,HH profile 1 estimated housing costs % of income (renters)
hh_type1_t_rent,HH profile 1 estimated transportation costs % of income (renters)
hh_type1_autos_rent,HH profile 1 estimated autos owned (renters)
hh_type1_vmt_rent,HH profile 1 estimated annual VMT (renters)
hh_type1_transit_trips_rent,HH profile 1 estimated annual transit trips (renters)
hh_type2_income,HH profile 2 income
hh_type2_size,HH profile 2 size
hh_type2_workers,HH profile 2 number of commuters
hh_type2_ht,HH profile 2 estimated housing+transportation costs % of income
hh_type2_h,HH profile 2 estimated housing costs % of income
hh_type2_t,HH profile 2 estimated transportation costs % of income
hh_type2_autos,HH profile 2 estimated autos owned
hh_type2_vmt,HH profile 2 estimated annual VMT
hh_type2_transit_trips,HH profile 2 estimated annual transit trips
