Variable,Description
JAGE,Edit flag for AGE
JCITSHP,Edit flag for CITSHP
JENROLL,Edit flag for ENROLL
JFAMLINE,Edit flag for FAMLINE
JFAMREL,Edit flag for FAMREL
JFAMTYP,Edit flag for FAMTYP
JFIRPARENT,Edit flag for FIRPARENT
JGRAD,Edit flag for GRAD
JINTP,Edit flag for INTP
JINUSYR,Edit flag for INUSYR
JMAR,Edit flag for MAR
JMIL,Edit flag for MIL
JMLPA,Edit flag for MLPA
JMLPB,Edit flag for MLPB
JMLPCD,Edit flag for MLPCD
JMLPE,Edit flag for MLPE
JMLPFG,Edit flag for MLPFG
JMLPH,Edit flag for MLPH
JMLPI,Edit flag for MLPI
JMLPJ,Edit flag for MLPJ
JMOVE,Edit flag for MOVE
JMOVERGRP,Edit flag for MOVERGRP
JNATVTY,Edit flag for NATVTY
JOIP,Edit flag for OIP
JPAP,Edit flag for PAP
JPCARE,Edit flag for PCARE
JPDTHSP,Edit flag for PDTHSP
JPERRND,Edit flag for PERRND
JPHEAR,Edit flag for PHEAR
JPMEMRY,Edit flag for PMEMRY
JPSEE,Edit flag for PSEE
JPWALK,Edit flag for PWALK
JRACE,Edit flag for RACE
JRACEAS,Edit flag for RACEAS
JRACEPI,Edit flag for RACEPI
JREL,Edit flag for REL
JRESPONDENT,Edit flag for RESPONDENT
JRETP,Edit flag for RETP
JSECPARENT,Edit flag for SECPARENT
JSEMP,Edit flag for SEMP
JSEX,Edit flag for SEX
JSPAN,Edit flag for SPAN
JSPOUSE,Edit flag for SPOUSE
JSSIP,Edit flag for SSIP
JSSP,Edit flag for SSP
JWAGP,Edit flag for WAGP
CONTROL,Control number
PLINE,Line number of person
INUSYR,Year person came to the US
NATVTY,Country of birth of person
ENROLL,Person currently enrolled in school
AGE,Age of person
MAR,Marital status of person
SEX,Sex of person
MOVE,Year person moved in
SPAN,Spanish origin of person
PHEAR,Person has difficulty hearing
PSEE,Person has difficulty seeing
PMEMRY,Person has difficulty concentrating or remembering
PWALK,Person has difficulty walking or climbing stairs
PCARE,Person has difficulty dressing or bathing
PERRND,Person has difficulty doing errands
CITSHP,US citizenship of person
FAMTYP,Family type of person
FAMREL,Family relationship of person
RACE,Race of person
RACEAS,Race of person (Asian group)
RACEPI,Race of person (Native Hawaiian or other Pacific Islander group)
RESPONDENT,Flag indicating this person is the respondent
MIL,Military status of person
MLPA,Served September 2001 or later
MLPB,Served August 1990 - August 2001
MLPCD,Served May 1975 - July 1990
MLPE,Served August 1964 - April 1975
MLPFG,Served February 1955 - July 1964
MLPH,Served July 1950 - January 1955
MLPI,Served January 1947 - June 1950 or November 1941 or earlier
MLPJ,Served December 1941 - December 1946
GRAD,Educational level of person
PDTHSP,Detailed Spanish origin of person
PERSONID,Person identifier
SPOUSE,Line number of spouse of person
FIRPARENT,Line number of parent number one
SECPARENT,Line number of parent number two
FAMLINE,Family number of person
WAGP,Wages or salary income
SEMP,Self-employment income
SSP,Social Security income
SSIP,Supplemental Security income
PAP,Public assistance income
RETP,Retirement income
INTP,"Interest, dividends, and net rental income"
OIP,All other income
REL,Relationship of person to reference person
MOVERGRP,Recent mover group
