Variable,Description
aggregation_method,Aggregation period used to compute this metric
date,Date of the data
version,Version of the table
airport_name,Aggregation period used to compute this metric
percent_of_baseline,Proportion of trips on this date as compared to Avg number of trips on the same day of week in baseline period i.e 1st February 2020 - 15th March 2020
center_point_geom,Geographic representation of the centroid of the Airport polygon
city,City within which the Airport is located
state_region,State within which the Airport is located
country_iso_code_2,ISO 3166-2 code representing the county and subdivision within which the Airport is located
country_name,Full text name of the country within which the Airport is located
airport_geom,Geographic representation of the Airport polygon
city_name,Name of city
date_time,Date and time of the measurement
percent_congestion,Percent of congestion relative to the baseline
alpha_code_3,If the record contains country-level stats: 3-letter Country code
country_iso_code_2,"If the record contains state-level stats: 2-letter country code, followed by dash, then 2-letter state code."
region,If the record contains region-level stats: region description as found in `bigquery-public-data.covid19_geotab_mobility_impact.lookup_region`
date,Date of the data
day_of_week,"Day of Week starting with Sunday as Day 1. Range between [1,7]"
percent_of_baseline_activity,"Number of trips taken on DATE, relative to the median value for the same day-of-week during baseline period"
percent_of_baseline_commercial,"percent_of_baseline_activity counting only trips starting around commercial buildings, as labelled by OpenStreetMap"
percent_of_baseline_industrial,"percent_of_baseline_activity counting only trips starting around industrial buildings, as labelled by OpenStreetMap"
percent_of_baseline_warehouse,"percent_of_baseline_activity counting only trips starting around warehouse buildings, as labelled by OpenStreetMap"
percent_of_baseline_grocery_store,"percent_of_baseline_activity counting only trips starting around grocery store buildings, as labelled by OpenStreetMap"
percent_of_baseline_other_retail,"percent_of_baseline_activity counting only trips starting around all retail buildings, excluding those classified as GroceryStore, as labelled by OpenStreetMap"
region_geom,"Geographic shape of the country, region, or state; for performance, shapes of regions and states are rough approximates of real boundaries."
version,Version of the table
alpha_code_3,If the record contains country-level stats: 3-letter Country code
region,If the record contains region-level stats: region description as found in `bigquery-public-data.covid19_geotab_mobility_impact.lookup_region`
industry,Major industry impacted by COVID.
date,Date of the data
percent_of_baseline,Percent of baseline activity for the corresponding industry and region.
version,Version of the table
date,Date of the data
vehicle_class,Vehicle class
percent_of_normal_volume,The percentage of fuelling events at fuel stations relative to the baseline period.
version,Version of the table
week_start,The start of the week in which fuelling events at fuel stations was measured.
week_end,The end of the week in which fuelling events at fuel stations was measured.
state_province,The state where fuelling events was measured.
country_iso_code_2,ISO 3166-2 code representing the county and state/province of the aggregation
percent_of_normal_volume,The percentage of fuelling events at fuel stations relative to the baseline period.
version,Version of the table
country_iso_code_2,ISO 3166-2 code representing the county and state/province
region_id,Unique identifier for each region
region_description,Name of the region
states,Concatenated list of states that are contained within the region. Values are separated by a semi-colon (;)
country_iso_code_2,ISO 3166-2 code representing the county and state/province where the port is located
