Variable,Description
BASMID,Unique child identifier
ALLGRADEX,Current grade
EDCPUB,Type of school - Public
EDCCAT,Type of school - Private catholic
EDCREL,Type of school - Private religious not catholic
EDCPRI,Type of school - Private not religious
EDCINTK12,Type of school - Full time online grade K through 12
EDCINTCOL,Type of school - Online college or university
EDCCOL,Type of school - Regular college or university
EDCHSFL,Type of school - Homeschooled
HOMESCHLX,Homeschooled for some classes or subjects
HMSCHARR,Homeschooling arrangement
HSCOOP,Homeschool instruction by homeschool group
HSWHOX,Person providing homeschool instruction
HSTUTOR,Homeschool instruction by tutor
HSINTNET,Internet homeschool instruction
ONLNAP,"Online, virtual or cyber enrollment - Advanced placement"
ONLNSC,"Online, virtual or cyber enrollment - Specialized course"
ONLNEH,"Online, virtual or cyber enrollment - Extra help"
ONLNLS,"Online, virtual or cyber enrollment - Learning style"
ONLNPR,"Online, virtual or cyber enrollment - Prefers online/virtual"
ONLNHS,"Online, virtual or cyber enrollment - Began homeschooling to enroll in online/virtual"
ONLNOTH,"Online, virtual or cyber enrollment - Another reason"
ONLBULLY,"Online, virtual or cyber enrollment - Bullying"
ONLHLTH,"Online, virtual or cyber enrollment - Physical or mental health problem"
ONLSPNDS,"Online, virtual or cyber enrollment - Other special needs"
ONLAVDPUB,"Online, virtual or cyber enrollment - Concerns about public school"
HSIMPONLI,"Most important reason for online, virtual or cyber enrollment"
HSINTPUB,Homeschool online instruction provided by - Local public school
HSINTPRI,Homeschool online instruction provided by - Private school
HSINTCOL,Homeschool online instruction provided by - College
HSINTVRT,Homeschool online instruction provided by - Online academy instruction
HSINTCMP,Homeschool online instruction provided by - Courses purchased online
HSINTK12,Homeschool online instruction provided by - K-12 public or private school
HSINTIND,Homeschool online instruction provided by - Independent instructor
HSINTOH,Homeschool online instruction provided by - Someplace else
HSINTNUM,Total online courses
HSINTFEE,Total tuition for online courses
HSINTHRS,Homeschooling hours spent online
HSSTYL,Homeschool teaching style
HSKACTIV,Participated in activities while homeschooled
HSINTLIB,"Online, virtual or cyber resources - Public library resource"
HSINTCAT,"Online, virtual or cyber resources - Specialized provider of homeschooling materials"
HSINTREL,"Online, virtual or cyber resources - Affiliated with a particular religion"
HSINTSCH,"Online, virtual or cyber resources - Local public school or school district"
HSINTFRWB,"Online, virtual or cyber resources - Free website"
HSINTWEB,"Online, virtual or cyber resources - Cyber educational resources"
HSINTOTH,"Online, virtual or cyber resources - Other sources"
HSCLIBRX,Homeschool physical curriculum source - Library
HSCHSPUBX,Homeschool physical curriculum source - Homeschool catalog
HSCHSRELX,Homeschool physical curriculum source - Catalog affiliation
HSCPUBLX,Homeschool physical curriculum source - Public school or district
HSCCNVX,Homeschool physical curriculum source - Homeschooling convention
HSCEVTX,Homeschool physical curriculum source - Curriculum swap or exchange
HSCFMLY,Homeschool physical curriculum source - Other homeschool families
HSCOTH,Homeschool physical curriculum source - Other source
HSCOURS,Courses online or in person
HOMEKX,Homeschooled in kindergarten
HOME1,Homeschooled in first grade
HOME2,Homeschooled in second grade
HOME3,Homeschooled in third grade
HOME4,Homeschooled in fourth grade
HOME5,Homeschooled in fifth grade
HOME6,Homeschooled in sixth grade
HOME7,Homeschooled in seventh grade
HOME8,Homeschooled in eighth grade
HOME9,Homeschooled in ninth grade
HOME10,Homeschooled in tenth grade
HOME11,Homeschooled in eleventh grade
HOME12,Homeschooled in twelfth grade
HSSAFETYX,Reason to homeschool - School environment
HSDISSATX,Reason to homeschool - Dissatisfied with instruction
HSRELGON,Reason to homeschool - Religious instruction
HSMORAL,Reason to homeschool - Moral instruction
HSDISABLX,Reason to homeschool - Health problem
HSILLX,Reason to homeschool - Temporary illness
HSSPCLNDX,Reason to homeschool - Special needs
HSALTX,Reason to homeschool - Nontraditional education
HSFMLY,Reason to homeschool - Emphasize family life together
HSOTHERX,Reason to homeschool - Other
HSBULLY,Reason to homeschool - Bullying
HSMOSTX,Most important reason to homeschool
HSSUBJ1,1st home instruction subject area
HSSUBJ2,2nd home instruction subject area
HSSUBJ3,3rd home instruction subject area
HSSUBJ4,4th home instruction subject area
HSSUBJ5,5th home instruction subject area
HSSUBJ6,6th home instruction subject area
HSSUBJ7,7th home instruction subject area
HSSUBJ8,8th home instruction subject area
HSSUBJ9,9th home instruction subject area
HSSUBJ10,10th home instruction subject area
HSASSNX,Participate in homeschool activities
HSFREQX,Participate in homeschool activities - times
HSNATL,Member of homeschool organization
HSMLTY,Military family that frequently relocates
HSENRL,Homeschooled child enrolled in school
DISTASSI,District-assigned school
SCHRTSCHL,Charter school
SCHLMAGNET,Magnet school
SNEIGHBRX,Moved to attend school
SCCHOICE,Choice in school attendance
SPUBCHOIX,District allows school choice
SCONSIDR,Other schools considered
LOCALE,Reason for choosing school - Convenient location
SCHLSAFETY,Reason for choosing school - Safety
SCHLSTFQUALITY,Reason for choosing school - Quality of staff
AVAILCOURSE,Reason for choosing school - Curriculum focus
XTRACURRIC,Reason for choosing school - Extracurricular options
STUDNTCHAR,Reason for choosing school - Student body characteristics
STUDNTPERFORM,Reason for choosing school - Academic performance of student
RELIGSOR,Reason for choosing school - Religious orientation
SPECALEDSERVS,Reason for choosing school - Quality or availability of special education
SPECALFACILTS,Reason for choosing school - Special facilities
CLSSIZE,Reason for choosing school - Number of students in class
SCHLCOST,Reason for choosing school - Cost
FINDSCHL,Finding school - In my neighborhood
FINDFRND,Finding school - Friend
FINDFAM,Finding school - Family member
FINDNEWS,Finding school - Newspaper or magazine articles
FINDRPT,Finding school - State report cards
FINDWEB,Finding school - School ratings website
FINDADS,Finding school - Advertisements
FINDFLY,Finding school - Flier
FINDSTF,Finding school - School or district staff
FINDCHRC,Finding school - Church
FINDOTH,Finding school - Other reason
S1STCHOI,First choice school
SSAMSC,Same school since beginning of school year
SCHLHRSWK,Hours attend school each week
EINTNET,"Child enrolled in online, virtual or cyber courses"
ADVCCRSE,"Online, virtual or cyber enrollment - Advanced Placement or college courses"
SPCLCRSE,"Online, virtual or cyber enrollment - Specialized courses"
MKUPCRSE,"Online, virtual or cyber enrollment - Make up course"
ADDCRSE,"Online, virtual or cyber enrollment - Earn additional credits"
HELP,"Online, virtual or cyber enrollment - Extra help in a course or subject"
CONFLCT,"Online, virtual or cyber enrollment - Schedule conflict with the in-person courses"
DISABLX,"Online, virtual or cyber enrollment - Physical or mental health problem"
TEMPILL,"Online, virtual or cyber enrollment - Temporary illness"
SPCLND,"Online, virtual or cyber enrollment - Other special needs"
LRNSTYLE,"Online, virtual or cyber enrollment - Learning style"
NOCHOICE,"Online, virtual or cyber enrollment - Was required"
SCHLPLCE,"Online, virtual or cyber enrollment - School placement in online course"
ONLINEPREF,"Online, virtual or cyber enrollment - Online course preference"
ONLINEOTH,"Online, virtual or cyber enrollment - Other reason"
MOSTIMPT,"Most important reason for online, virtual or cyber enrollment"
SPBSCH,"Online, virtual, or cyber instruction - Public school instruction"
SPRIVT,"Online, virtual, or cyber instruction - Private school instruction"
SUNIVSCH,"Online, virtual, or cyber instruction - Community college/university instruction"
SCYBER,"Online, virtual, or cyber instruction - Online academy instruction"
SCOMPANY,"Online, virtual, or cyber instruction - Courses purchased for instruction"
SOTHRSCH,"Online, virtual, or cyber instruction - Another K-12 public or private school"
STUTR,"Online, virtual, or cyber instruction - Independent instructor"
SOTHSCH,"Online, virtual, or cyber instruction - Instruction from someplace else"
INTNUM,Number of online courses
SINSTFEE,Total tuition for online courses
INTHRS,Virtual/cyber instruction hours spent online
SEENJOY,Child enjoyment of school
SEGRADES,Child’s grades
SEADPLCXX,Advanced placement enrollment
SEBEHAVX,Times contacted about behavior problems
SESCHWRK,Times contacted about problems with school work
SEGBEHAV,Times contacted about very good behavior
SEGWORK,Times contacted about very good school work
SEABSNT,Days absent
SEREPEAT,Whether grades repeated
SEREPTK,Which grades repeated - Kindergarten
SEREPT1,Which grades repeated - 1st grade
SEREPT2,Which grades repeated - 2nd grade
SEREPT3,Which grades repeated - 3rd grade
SEREPT4,Which grades repeated - 4th grade
SEREPT5,Which grades repeated - 5th grade
SEREPT6,Which grades repeated - 6th grade
SEREPT7,Which grades repeated - 7th grade
SEREPT8,Which grades repeated - 8th grade
SEREPT9,Which grades repeated - 9th grade
SEREPT10,Which grades repeated - 10th grade
SEREPT11,Which grades repeated - 11th grade
SEREPT12,Which grades repeated - 12th grade
SESUSOUT,Out of school suspension
SESUSPIN,In school suspension
SEEXPEL,Expelled
SEGRADEQ,Description of school work
FSSPORTX,Participation in school activities - Attend a school event
FSVOL,Participation in school activities - Serve as a volunteer
FSMTNG,Participation in school activities - Attend a school meeting
FSPTMTNG,Participation in school activities - Attend a parent - teacher organization meeting
FSATCNFN,Participation in school activities - Attend parent - teacher conference
FSFUNDRS,Participation in school activities - Participate in fundraising
FSCOMMTE,Participation in school activities - Serve on school committee
FSCOUNSLR,Participation in school activities - Meet with guidance counselor
FSFREQ,Times participated in school meetings
FSNOTESX,School communication - Receive notes or emails
FSMEMO,School communication - Receive newsletters
FSPHONCHX,School communication - Receive phone calls
FSSPPERF,School provides child progress between report cards
FSSPHW,School provides information on homework help
FSSPCOUR,School provides information on class placement
FSSPROLE,School provides information on your expected role
FSSPCOLL,School provides information on college
FCSCHOOL,Satisfaction with school
FCTEACHR,Satisfaction with teachers
FCSTDS,Satisfaction with academic standards
FCORDER,Satisfaction with discipline
FCSUPPRT,Satisfaction with school staff/parent interaction
FHHOME,Days spent doing homework
FHWKHRS,Hours spent doing homework
FHAMOUNT,Adult’s feelings about amount of homework
FHCAMT,Child’s feelings about amount of homework
FHPLACE,Place at home to do homework
FHCHECKX,Check for homework completion
FHHELP,Days help with homework
FOSTORY2X,"In the past week, child has been told a story"
